date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Rangpur,Narsingdi,Bogra,Cox's Bazar,Naogaon,Sunamganj,Jaipurhat,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Sherpur,Pabna,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,0,2,12,0,0,3,2,1,0,0,0,0,0,0,0,3,3,0,2,0,2,35,2,0,2,1,1,0,0,0,0,0,3,2,0,0,1,1,0,2,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0
2020-04-04,3,3,19,0,2,3,2,5,0,2,0,1,0,2,0,2,6,0,4,1,2,138,0,2,0,3,2,8,1,1,1,0,0,7,0,1,4,2,10,0,2,0,0,5,0,1,0,9,1,0,5,0,0,2,1,0,0,0,1,2,13,4,3,5,0,0
2020-04-05,0,1,12,0,1,6,0,2,0,0,3,2,0,0,0,8,8,0,13,0,2,119,2,2,0,1,3,5,0,4,1,0,2,15,0,4,2,6,5,2,3,1,0,1,0,0,1,3,1,1,6,2,4,2,2,0,0,0,0,0,4,3,1,3,2,0
2020-04-06,6,2,34,2,1,3,0,6,2,1,2,3,0,0,0,4,6,1,21,0,3,258,1,0,1,2,4,9,4,1,2,1,1,12,2,0,2,5,6,0,5,3,3,4,0,0,1,1,0,1,9,3,6,5,4,0,0,3,2,1,26,3,1,12,1,2
2020-04-07,0,1,7,2,0,1,0,2,1,2,0,2,0,1,0,0,2,0,4,1,1,69,0,0,2,0,3,3,2,1,0,0,2,2,0,1,3,4,6,0,4,1,0,2,0,0,0,4,0,0,2,0,4,3,0,0,0,0,1,0,4,5,2,8,0,1
2020-04-08,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,157,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-04-09,0,1,6,0,0,1,0,2,0,0,0,1,0,0,0,1,2,0,3,0,1,48,1,0,0,2,1,1,0,3,0,1,0,8,2,2,1,4,2,0,0,0,1,2,0,2,0,1,0,0,4,0,3,1,1,0,0,1,0,0,9,0,0,1,4,0
2020-04-10,1,0,2,0,1,2,0,1,0,0,0,0,124,0,0,2,0,0,0,0,0,28,2,0,0,2,0,1,0,0,0,0,0,3,0,0,2,1,2,0,1,3,0,0,0,2,0,0,0,0,2,0,3,0,2,1,0,0,0,1,2,0,0,2,0,0
2020-04-11,0,0,5,3,1,1,0,1,0,0,0,0,289,0,0,0,3,0,0,0,0,27,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,1,0,0,1,0,0,0,1,0,2,1,0,1,1,0,0,0,2,0,0,2,2,0,0,1,0
2020-04-12,2,0,2,0,0,0,0,2,0,1,0,0,324,0,0,1,1,1,4,0,0,11,1,0,1,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,1,3,0,0
2020-04-13,1,0,2,0,0,0,0,1,0,0,0,3,203,0,0,0,1,0,0,0,1,13,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0
2020-04-14,0,0,3,0,0,0,0,0,0,0,1,0,197,0,0,0,1,0,3,0,2,16,0,0,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
2020-04-15,0,0,2,0,3,0,2,0,0,0,2,0,191,0,0,0,2,0,0,0,0,19,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,2,0,1,0,0,0,0
2020-04-16,0,1,3,0,0,0,1,0,0,0,1,0,102,0,0,0,1,0,1,0,0,16,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2020-04-17,0,0,11,0,0,0,0,1,0,0,0,1,150,0,0,0,0,0,1,0,2,29,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,2,0,2,0,0,0,0,0,4,0,0,1,1,0
2020-04-18,0,0,2,0,1,0,0,1,1,0,0,0,188,0,0,1,0,1,0,0,2,12,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0
2020-04-19,1,1,1,0,0,0,0,2,0,0,0,0,113,0,0,0,0,0,1,2,0,16,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0
2020-04-20,0,0,0,0,0,3,0,0,0,0,1,0,216,0,0,0,0,0,1,1,1,31,0,0,0,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,1,2,0,0
2020-04-21,0,0,0,0,0,0,0,3,0,0,0,0,233,0,0,5,0,0,2,0,1,42,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,2,1,0,4,0,0,1,0,0,0,0,1,3,1,1,1,0,0,1
2020-04-22,0,0,6,0,0,0,0,3,0,0,0,1,210,0,0,0,0,1,6,0,4,35,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,3,2,1,6,0,1
2020-04-23,1,0,2,0,0,0,0,2,0,0,2,2,198,0,0,1,0,0,7,0,1,38,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,1,0,0,1,1,2,0,1,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
2020-04-24,0,0,5,0,0,4,0,0,0,0,0,0,196,0,0,2,2,0,1,0,1,28,5,0,0,1,2,2,3,0,2,0,1,3,0,0,2,0,3,0,1,0,1,0,0,0,0,3,0,0,2,0,2,2,2,0,0,1,0,0,2,2,0,1,0,0
2020-04-25,0,0,1,0,0,0,1,0,0,0,0,1,160,0,0,0,0,0,0,0,0,34,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,2,0,0
2020-04-26,0,0,4,0,3,0,0,1,0,1,0,0,165,0,0,2,0,0,3,0,3,20,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,1,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0
2020-04-27,1,0,5,0,0,1,1,2,0,0,0,0,142,0,0,1,0,0,5,1,1,45,0,1,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0
2020-04-28,0,0,2,0,0,0,0,2,2,0,0,0,136,0,0,0,1,0,0,1,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,2,3,0,0,0,0
2020-04-29,0,0,3,0,0,1,0,1,0,0,0,0,121,0,0,0,0,0,7,0,2,24,1,0,0,3,1,0,0,0,0,0,2,5,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
2020-04-30,0,0,1,0,1,5,0,0,5,0,0,0,140,0,0,0,0,0,1,0,0,31,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0
2020-05-01,0,0,0,0,0,2,1,2,2,0,0,0,124,0,0,0,1,0,4,0,0,33,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2020-05-02,1,0,5,0,0,0,0,0,1,0,0,0,236,0,0,0,0,0,4,0,0,28,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2020-05-03,0,0,1,0,2,1,0,0,1,0,1,1,120,0,0,0,2,0,0,1,2,18,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0
2020-05-04,1,0,7,0,1,0,0,1,0,0,0,0,122,1,0,1,2,0,1,0,1,26,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0
2020-05-05,1,0,2,0,0,0,0,2,0,0,0,0,89,0,0,0,0,0,3,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0
2020-05-06,2,0,8,0,0,3,1,1,0,0,0,0,78,0,0,3,1,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,3,0,0,2,0,0
2020-05-07,0,0,0,0,1,0,0,2,0,0,0,0,96,0,0,0,0,0,0,0,0,35,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-05-08,0,0,7,0,0,0,0,3,1,0,0,2,96,0,0,0,1,0,1,0,0,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0
2020-05-09,0,1,3,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,2,0,0,31,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-10,0,0,2,0,0,1,0,0,0,0,0,0,55,0,0,0,0,0,3,0,0,12,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2020-05-11,0,0,2,0,0,2,0,2,1,0,0,0,57,0,0,0,1,0,1,0,0,22,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-12,0,0,2,0,0,0,0,1,0,0,0,0,78,0,0,1,1,0,3,0,1,28,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1
2020-05-13,0,0,6,0,0,0,0,0,0,0,0,0,80,0,0,0,1,0,2,0,0,22,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0
2020-05-14,1,0,2,0,0,1,0,0,0,0,0,0,109,0,0,0,0,1,4,0,0,27,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0
2020-05-15,0,0,5,0,0,0,0,0,0,0,1,0,98,0,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,2,0,0
2020-05-16,1,0,13,0,0,0,0,0,0,0,0,0,125,1,0,0,1,1,3,0,0,39,0,0,1,2,1,1,3,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0,1,0,8,0,0,0,0,0,2,0,7,0,0,1,0,0
2020-05-17,0,0,5,1,0,0,0,0,2,0,0,0,77,0,0,1,0,0,8,0,1,40,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,1,0,3,0,0,1,1,1,0,0,0,0,71,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
2020-05-19,0,0,6,0,1,0,0,0,0,0,1,0,102,0,0,0,0,0,3,0,0,25,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-05-20,1,0,10,1,0,0,0,0,0,0,0,0,121,0,0,5,0,0,1,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0
2020-05-21,0,0,5,0,0,0,1,1,1,0,0,0,150,0,0,0,0,1,5,0,0,36,1,0,0,1,0,1,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,2,0,1,0,0,0
2020-05-22,0,1,4,0,0,0,2,3,0,0,1,0,131,0,0,0,1,0,5,0,0,33,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0
2020-05-23,0,0,6,0,0,1,0,0,0,0,0,2,113,0,0,1,1,0,4,0,0,59,1,0,0,0,2,3,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-24,0,0,5,1,0,0,0,1,0,0,0,0,107,1,0,0,0,0,2,0,0,32,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-05-25,0,0,4,0,0,0,0,0,2,0,0,3,130,0,0,0,0,0,7,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,3,2,0,0,0,0
2020-05-26,0,1,7,0,0,0,0,1,0,0,0,1,184,0,0,0,1,0,5,0,0,69,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,0,2,0,0
2020-05-27,0,0,6,1,0,2,0,1,1,0,0,0,204,0,0,0,1,0,6,0,1,47,0,1,1,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,0,0,0,0,4,0,1,0,0,0
2020-05-28,0,0,4,0,0,0,0,0,0,0,0,0,199,0,0,1,0,0,2,0,0,54,1,0,1,2,0,1,0,0,0,0,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0
2020-05-29,2,0,5,0,0,1,0,0,0,0,0,0,195,0,0,0,0,0,4,0,0,58,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,1,2,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2020-05-30,0,0,4,0,0,0,0,0,0,0,0,2,200,0,0,0,0,0,6,0,0,59,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,2,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-05-31,0,0,4,0,0,2,0,0,0,0,0,0,189,0,0,0,0,0,4,1,0,45,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-06-01,0,0,4,0,0,0,0,3,0,0,0,1,187,0,0,0,0,0,5,0,0,47,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0,1,0,3
2020-06-02,3,0,6,0,0,1,0,1,4,0,0,0,193,0,0,1,0,0,4,1,1,35,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-06-03,1,0,7,0,0,0,1,1,0,0,0,0,188,0,0,0,0,0,10,1,0,44,0,1,0,0,0,0,2,0,0,0,0,2,0,0,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,1,0,2
2020-06-04,1,6,19,0,0,6,1,5,1,1,2,1,353,1,0,2,2,2,6,1,0,82,0,1,0,2,1,0,1,1,0,0,0,6,1,0,0,0,6,0,3,5,2,1,1,0,0,1,0,1,1,0,1,0,1,0,2,2,0,2,4,2,0,1,0,0
2020-06-05,6,0,65,1,0,8,0,6,3,2,2,1,654,1,0,2,12,4,22,0,1,161,3,0,1,2,3,4,3,5,2,1,1,17,2,2,6,5,15,0,1,2,3,4,0,3,9,1,1,1,6,0,8,0,7,0,0,1,3,2,14,2,0,1,1,5
2020-06-06,3,2,27,0,2,7,0,5,1,1,1,0,546,1,0,10,14,1,26,0,3,101,1,0,2,2,0,5,5,2,2,0,4,14,0,1,0,9,6,2,0,3,1,4,0,0,3,1,3,0,4,3,4,0,4,2,0,1,0,4,11,3,1,4,2,3
2020-06-07,5,2,28,1,4,9,0,6,2,1,2,7,498,1,0,2,8,1,21,1,4,109,1,2,2,1,3,5,9,1,0,0,1,8,0,0,0,5,2,1,3,4,0,4,1,2,1,4,4,1,3,2,7,0,6,6,3,5,1,3,7,3,1,3,1,1
2020-06-08,2,2,24,0,0,5,0,3,3,0,1,0,344,1,0,3,7,2,17,1,1,92,1,0,1,3,4,5,5,2,1,0,0,20,0,0,3,3,7,1,1,3,4,1,1,0,0,1,4,0,4,0,1,0,3,0,0,0,0,10,12,1,1,3,2,1
2020-06-09,3,0,13,0,0,2,1,3,1,1,1,2,359,0,0,2,6,4,8,0,1,65,0,2,1,0,0,0,3,0,0,1,0,7,0,1,2,2,2,0,1,3,0,3,2,1,1,0,0,0,2,1,3,0,5,0,3,1,0,4,3,1,1,2,3,0
2020-06-10,3,0,6,0,2,0,0,7,0,0,2,0,275,2,0,3,4,1,6,1,0,67,0,1,2,3,1,3,4,0,3,0,1,3,0,0,0,4,8,1,2,0,0,5,0,0,1,5,1,0,3,1,1,0,2,0,1,2,1,1,9,1,3,4,0,0
2020-06-11,0,1,14,1,2,0,0,4,2,0,0,0,285,0,0,2,0,3,7,0,0,42,0,0,1,1,5,1,1,1,0,0,1,4,0,1,1,1,6,0,3,0,0,3,0,0,4,2,0,0,1,0,4,0,1,2,0,0,0,4,2,0,1,1,0,0
2020-06-12,0,1,15,0,1,1,0,2,0,1,4,1,232,0,0,1,1,0,4,1,2,28,0,1,2,1,0,2,3,1,0,0,2,13,0,0,0,5,1,0,1,2,0,3,0,0,0,1,0,0,1,0,2,1,2,0,0,0,0,1,3,2,1,2,0,0
2020-06-13,3,1,8,1,0,2,1,1,1,0,3,1,235,0,0,6,4,1,3,1,1,41,0,4,1,2,1,1,3,0,0,0,2,3,0,0,0,1,1,0,1,2,2,0,1,0,0,0,1,1,1,0,3,0,2,0,0,0,0,3,6,2,1,2,0,2
2020-06-14,2,0,8,2,1,2,0,3,0,0,0,3,206,0,0,5,2,0,9,0,0,25,0,0,0,3,0,2,2,0,1,0,0,3,0,0,2,0,0,1,0,0,1,2,2,3,1,3,1,0,2,1,4,0,7,0,0,0,1,1,2,1,0,1,0,0
