date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Shariatpur,Kurigram,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-15,2,1,9,1,0,2,0,1,0,0,2,1,278,0,2,3,0,6,3,2,47,1,1,1,0,1,0,0,1,2,1,0,5,0,5,1,0,4,1,0,1,3,0,0,0,0,2,0,0,0,0,1,1,0,1,0,2,0,0,5,3,2,4,0,0
2020-06-16,0,0,5,0,3,4,1,5,1,0,2,0,275,0,1,4,2,6,2,1,48,0,0,0,0,5,1,0,2,4,1,0,4,1,2,0,0,3,1,2,0,1,0,0,0,2,1,1,0,1,1,1,0,5,0,0,1,0,2,2,1,0,4,0,10
2020-06-17,1,0,12,0,2,1,0,3,0,1,0,1,214,0,2,0,0,10,0,2,34,0,0,1,1,2,1,0,1,1,0,0,4,0,0,6,1,7,2,0,2,1,0,0,1,0,0,2,1,3,0,1,1,3,1,0,0,0,0,3,1,1,4,0,3
2020-06-18,0,2,33,0,4,2,0,7,2,1,1,2,586,3,3,4,2,12,3,2,106,1,4,4,1,3,3,3,3,2,5,2,8,3,3,2,3,11,1,5,2,2,1,0,2,4,6,3,1,7,0,2,1,3,1,0,1,1,4,6,6,2,6,0,2
2020-06-19,3,1,13,1,3,5,0,1,0,1,1,0,342,0,4,1,0,7,2,1,58,2,0,1,1,7,1,1,2,2,0,1,9,1,1,1,1,1,0,2,0,0,1,0,0,0,4,1,0,1,2,2,0,6,1,1,0,3,2,7,8,2,12,1,1
2020-06-20,1,4,5,6,0,2,0,1,3,1,3,0,258,1,2,0,1,10,0,0,52,1,2,1,0,8,2,0,3,2,1,3,7,1,0,1,3,1,1,4,0,4,0,1,0,1,2,0,0,1,0,5,1,4,0,0,1,0,1,4,2,0,1,0,0
2020-06-21,0,2,4,1,2,1,0,1,0,0,1,0,245,0,4,6,0,4,0,0,38,2,0,0,1,3,1,1,0,0,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,2,1,0,1,0,0,0,3,4,0,0,0,0,0,3,1,0,2,1,0
2020-06-22,4,0,10,1,4,2,0,5,0,0,0,0,236,1,5,3,0,2,0,0,42,3,4,0,0,3,0,0,0,4,0,0,3,0,0,0,0,4,1,2,2,6,0,1,0,1,1,0,0,4,0,3,3,2,0,1,0,0,0,1,0,0,0,1,0
2020-06-23,4,1,5,1,1,0,0,2,1,1,1,1,221,1,3,4,0,4,0,1,43,0,1,1,0,4,0,0,2,0,2,0,2,0,0,2,2,1,0,2,1,2,0,0,0,1,0,0,2,4,3,8,2,5,0,1,0,0,8,1,0,2,4,0,0
2020-06-24,2,0,11,1,1,1,0,0,1,1,0,0,207,0,1,1,1,3,0,0,33,0,0,0,0,2,1,0,1,0,0,1,4,0,0,1,2,2,0,4,1,3,0,0,0,2,2,0,0,3,2,0,1,0,2,0,2,0,1,0,1,1,1,0,0
2020-06-25,2,3,7,1,0,2,0,2,0,0,2,2,176,0,2,1,0,2,0,1,26,1,0,0,1,1,2,3,0,1,4,0,8,0,0,0,0,2,0,4,0,3,2,2,1,1,0,0,0,0,1,2,1,1,0,0,0,0,2,1,0,0,2,0,1
2020-06-26,2,1,10,0,1,0,0,2,1,0,0,1,177,0,2,5,0,0,1,1,32,1,0,0,0,1,2,1,0,1,0,1,5,0,2,1,0,7,0,3,2,0,0,0,0,0,1,0,0,3,1,1,0,1,0,0,0,0,1,3,1,2,1,0,1
2020-06-27,2,0,10,0,1,2,0,2,0,0,0,1,163,0,2,0,0,6,0,0,21,1,2,3,0,1,1,0,1,1,0,0,6,0,0,1,2,1,0,1,0,2,1,0,0,0,1,0,0,4,0,2,1,0,0,0,0,0,1,1,1,2,4,0,2
2020-06-28,2,2,7,0,3,0,0,1,1,0,0,0,140,1,1,3,0,4,0,0,33,0,1,0,0,0,0,1,3,1,0,4,3,0,1,0,2,3,0,0,0,1,0,1,0,1,0,1,0,3,1,1,4,1,1,0,0,0,0,2,1,2,3,0,0
2020-06-29,4,4,2,0,2,0,0,0,0,0,1,0,134,0,0,1,0,1,0,0,26,0,2,0,1,0,0,0,2,2,0,0,3,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,1,3,2,1,3,0,0
2020-06-30,4,0,2,0,1,2,1,1,0,0,2,1,154,0,1,1,0,4,0,1,26,0,1,0,1,3,0,3,0,3,0,0,9,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,3,1,1,3,0,0
2020-07-01,4,1,1,0,1,0,0,2,0,0,0,1,116,0,4,0,1,3,2,0,31,0,0,0,0,0,0,2,1,0,2,0,4,0,0,3,2,3,0,0,1,0,1,0,0,0,1,0,1,2,1,2,0,0,0,0,0,1,2,2,1,0,2,0,1
2020-07-02,0,1,3,0,3,0,0,0,0,0,2,0,104,1,3,0,0,0,0,1,17,0,1,1,1,0,0,0,0,3,1,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,6,1,0
2020-07-03,0,0,5,0,0,0,0,3,1,2,0,0,117,0,2,0,0,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1
2020-07-04,1,1,1,0,1,0,0,0,0,0,0,0,109,0,0,0,0,5,1,0,27,0,2,0,0,1,0,0,0,1,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0
2020-07-05,0,1,4,0,2,0,0,0,0,0,0,1,96,0,0,1,1,3,0,0,29,0,0,4,0,3,1,0,0,0,0,0,2,0,0,1,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,0,0,1,0,1,3,2,0
2020-07-06,2,0,2,1,0,1,0,5,0,0,0,0,119,0,0,1,0,1,0,0,17,1,0,0,0,2,0,0,0,2,0,0,4,0,1,1,1,1,0,5,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,2,3,0,2,0,0
2020-07-07,3,2,4,0,0,0,0,0,0,0,0,0,85,0,1,2,0,1,0,0,12,4,0,0,2,2,1,0,0,2,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,2,0,2,1,1
2020-07-08,0,4,2,1,2,1,0,0,0,0,0,0,102,0,1,1,1,2,1,0,16,0,1,0,0,0,0,0,0,0,1,0,9,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,4,1,0,1,0,0
2020-07-09,1,0,3,0,0,0,0,1,1,2,0,0,89,0,0,0,0,1,0,0,16,0,0,0,0,2,1,0,0,1,0,0,4,0,0,0,0,0,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0
2020-07-10,2,3,3,0,0,0,0,0,0,1,0,0,96,0,0,0,1,1,1,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,4,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
2020-07-11,0,0,0,0,0,0,0,2,2,0,0,0,81,0,0,1,0,0,2,1,14,1,0,0,0,0,0,3,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1
2020-07-12,1,0,1,0,0,0,0,1,0,0,0,0,74,0,0,0,0,3,0,0,15,2,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,1,5,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1
2020-07-13,0,0,6,0,0,0,0,1,0,0,0,0,78,0,0,0,1,0,0,1,15,1,0,0,0,0,2,1,0,4,0,1,3,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-07-14,0,0,2,0,0,0,1,4,0,0,0,1,95,0,1,0,0,2,0,0,13,0,0,0,0,0,0,1,0,2,0,0,2,0,0,2,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0
2020-07-15,1,0,0,0,0,0,0,1,0,0,0,0,129,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,1,0,0,0,2,0,0
2020-07-16,0,0,0,0,4,2,0,0,0,0,2,0,105,0,1,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-07-17,0,0,1,0,4,1,0,0,0,0,0,0,85,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-18,1,0,1,0,5,0,0,0,0,0,0,0,88,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,2,0,1,0,1,0,0,0,0,0,110,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0
2020-07-20,1,0,0,0,0,0,0,0,0,1,0,1,83,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-07-21,0,0,3,0,0,1,0,0,0,0,0,0,105,0,1,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
2020-07-22,0,1,0,0,0,3,0,0,0,0,0,0,92,0,0,1,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-07-23,0,1,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-07-24,0,1,1,0,0,0,0,2,0,1,0,0,77,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-07-25,1,1,0,0,0,0,2,1,1,0,0,0,76,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,3,0,1,0,0,1,0,1,1,0,91,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-28,0,0,0,0,0,1,0,2,0,0,0,0,75,0,0,1,0,0,0,0,5,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29,0,0,1,0,0,1,0,0,0,0,0,1,72,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,0,0,0,1,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-08-03,1,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,2,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0
2020-08-04,0,0,0,0,1,0,1,0,0,0,0,0,87,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-05,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2020-08-06,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-07,0,0,1,2,2,1,0,0,0,0,0,0,75,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-08,0,0,0,0,2,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,11,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-08-09,0,0,0,0,1,0,0,0,1,0,0,0,56,0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,1,0,8,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-11,0,0,1,0,0,1,0,0,0,0,0,1,64,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0
2020-08-12,0,0,0,0,0,0,0,0,0,0,0,0,74,0,1,0,1,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-13,0,0,1,0,1,0,0,0,0,0,0,0,77,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2020-08-14,0,1,0,0,0,0,0,0,1,0,0,0,55,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-15,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-16,0,0,1,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2020-08-17,0,0,2,0,0,0,1,0,0,0,0,0,53,0,0,1,0,1,0,0,7,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-18,1,0,0,0,0,0,0,0,0,0,0,0,68,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-19,0,0,0,0,0,0,1,3,0,0,0,0,58,0,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,0,0
2020-08-20,1,0,0,0,1,0,0,0,0,0,0,0,58,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-22,0,0,1,1,0,1,0,1,0,0,0,0,60,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,0,1,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-08-24,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
2020-08-25,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-08-26,0,0,1,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-27,0,0,2,0,0,1,0,0,0,0,0,0,83,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-28,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-08-29,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,3,0,0,0,0,0,0,0,0,0,0,0,71,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
2020-08-31,1,0,0,0,0,0,0,0,0,0,0,0,81,0,1,0,0,1,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
