date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Sunamganj,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,2,0,12,0,0,1,3,0,2,1,0,1,0,0,0,2,0,10,0,1,74,2,0,1,1,6,1,0,0,0,0,0,1,0,0,5,1,3,0,2,1,1,2,0,0,0,2,0,0,4,2,1,1,0,0,0,0,0,0,13,1,0,5,0,1
2020-04-04,1,1,22,0,4,1,1,5,1,0,0,0,0,1,5,5,0,12,0,1,211,2,0,1,0,3,0,6,2,4,3,1,10,0,2,3,2,10,2,3,0,5,0,0,8,6,7,5,0,1,7,1,5,3,0,3,0,2,2,20,4,1,4,0,1
2020-04-05,7,3,39,0,4,3,0,10,0,0,0,3,0,9,9,5,0,8,0,1,239,1,0,11,0,5,3,9,2,5,4,0,4,0,0,5,2,13,0,13,7,4,0,0,0,1,0,1,0,2,5,0,2,8,0,0,0,0,1,11,5,0,8,0,0
2020-04-06,7,1,72,6,3,0,1,7,1,3,3,4,0,1,11,12,2,25,3,10,620,2,3,2,3,14,3,7,12,3,12,1,12,2,0,6,5,17,1,16,7,6,1,1,2,4,9,5,9,0,7,9,4,3,0,3,3,1,3,26,9,3,31,0,1
2020-04-07,0,3,15,1,1,1,1,5,2,0,3,2,0,0,1,5,0,7,0,0,156,5,0,2,0,1,0,5,0,1,5,1,13,0,0,6,2,1,0,6,2,0,2,0,0,0,3,3,0,0,2,3,1,0,0,0,2,0,2,7,5,0,14,0,0
2020-04-08,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,298,0,0,0,0,0,0,6,0,0,1,0,1,0,1,0,1,3,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,5,0,0,2,0,0
2020-04-09,0,2,2,1,0,3,1,2,0,1,0,2,0,1,3,2,0,4,0,4,115,0,0,0,1,3,0,4,3,1,4,1,3,3,1,6,3,4,0,1,0,0,2,3,0,0,0,0,0,1,10,1,2,4,0,0,2,1,1,12,4,0,2,2,1
2020-04-10,1,0,9,0,1,3,0,1,0,3,0,1,254,0,0,0,0,7,0,0,67,0,0,2,0,1,1,2,1,0,0,0,0,3,0,4,1,0,0,1,1,3,0,2,0,0,1,0,1,0,4,0,1,1,1,0,0,0,1,3,1,1,3,0,0
2020-04-11,2,2,5,0,0,2,0,1,0,0,0,0,537,0,2,0,0,4,0,0,42,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,3,0,0,0,0
2020-04-12,0,0,5,0,0,0,0,3,0,0,0,0,463,0,1,0,0,4,0,0,43,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,2,3,0,1
2020-04-13,2,0,5,0,0,0,0,0,0,0,0,1,330,0,1,0,2,1,0,0,44,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,4,1,0,1,0,0
2020-04-14,1,0,3,0,0,0,1,1,0,1,1,0,264,0,0,0,0,2,0,3,24,0,1,0,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,1
2020-04-15,0,1,2,0,2,0,0,0,0,2,0,0,346,0,0,1,0,0,0,1,34,0,0,0,0,0,0,0,1,2,5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,0,0
2020-04-16,1,1,4,1,1,0,0,4,0,1,0,0,209,0,0,3,0,2,0,1,38,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,2,1,0,2,0,0
2020-04-17,1,0,11,0,0,4,0,0,0,0,0,0,270,0,0,1,0,2,0,0,32,0,0,0,0,3,0,2,1,0,0,0,1,3,0,1,2,0,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,6,1,0
2020-04-18,0,0,4,0,5,0,0,1,0,1,0,0,266,0,0,0,0,1,0,0,29,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,1,0
2020-04-19,0,0,1,0,3,0,0,1,0,0,0,0,199,0,0,0,0,1,2,2,31,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,3,0,1,0,1
2020-04-20,0,4,5,0,1,0,0,5,2,0,0,1,353,0,0,0,1,3,0,2,57,0,0,0,0,3,0,0,0,2,1,0,3,0,0,0,2,0,0,0,0,1,3,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,7,0,2,0,0,0
2020-04-21,0,0,4,0,1,1,0,1,0,0,0,0,420,0,3,3,0,5,0,0,48,0,0,0,0,1,0,1,1,3,1,3,0,0,0,0,0,2,0,5,0,1,0,0,0,0,1,0,1,0,0,3,0,3,0,0,0,1,1,2,0,0,2,0,1
2020-04-22,0,3,5,0,1,0,0,1,0,1,0,2,330,1,0,3,4,6,0,0,64,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,2,0,0,0,0,0,2,2,0,6,1,0
2020-04-23,0,0,5,0,2,1,0,2,0,0,1,1,256,0,0,3,0,1,0,0,44,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,3,1,2,0,0,0,1,0,0,3,0,0,0,0,3,0,3,1,0,0,0,2,4,1,1,0,0,0
2020-04-24,0,0,4,0,1,0,1,1,0,0,0,0,295,0,0,1,0,6,0,0,47,4,1,0,0,0,2,4,0,0,3,0,2,0,0,0,1,2,1,0,1,0,0,0,0,0,3,1,0,0,2,3,0,0,0,0,0,0,0,5,3,0,2,0,0
2020-04-25,0,0,1,1,0,0,0,0,1,0,0,0,198,0,0,0,0,4,0,0,30,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,2,0,0
2020-04-26,1,0,5,0,0,0,0,5,0,1,1,0,200,0,0,2,0,6,0,0,30,0,0,2,0,2,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,2,0,0,0,1,1,0,1
2020-04-27,0,2,2,0,1,0,0,0,0,2,0,0,204,3,0,0,0,2,1,1,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,0,1,4,0,0,0,0,1,0,1,0,0,139,0,0,1,0,0,0,1,19,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0
2020-04-29,0,0,3,0,0,0,0,1,0,0,0,0,143,0,0,1,0,4,0,0,36,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,3,0,0
2020-04-30,0,0,0,2,0,1,0,2,0,0,0,1,203,0,0,0,0,5,1,0,43,0,0,0,0,0,0,0,1,0,1,0,4,0,0,2,0,0,0,1,0,1,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0
2020-05-01,0,0,0,0,0,0,0,4,0,0,2,0,163,0,0,1,0,5,0,1,30,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
2020-05-02,0,2,3,0,1,0,1,2,1,0,0,0,670,0,0,0,0,2,0,0,57,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2020-05-03,0,0,4,0,1,1,0,0,0,0,0,0,264,0,0,2,0,1,0,0,29,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0
2020-05-04,0,0,7,0,2,0,1,2,0,0,0,1,139,0,2,1,0,0,0,0,44,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,1,2,5,1,0,0,0,0
2020-05-05,2,0,3,0,0,0,0,3,0,0,0,0,135,0,2,0,0,1,0,1,33,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,1,1,1,0,2,0,0
2020-05-06,1,0,5,0,2,0,0,0,1,0,0,0,109,0,2,0,0,1,0,0,45,0,0,0,0,1,0,0,3,6,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0
2020-05-07,0,0,2,0,3,3,0,0,0,0,0,0,159,0,2,0,0,1,0,1,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,2,0,0
2020-05-08,0,0,6,0,0,0,0,4,0,0,0,0,132,0,0,0,0,1,0,1,30,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0
2020-05-09,3,1,5,2,0,1,0,0,0,0,0,0,115,0,0,2,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,3,0,0,0,0,0,4,0,0,2,0,0
2020-05-10,0,0,2,0,0,0,0,2,0,0,0,0,85,0,1,1,0,2,0,0,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-11,0,0,5,0,0,1,0,0,0,0,0,0,121,0,0,0,0,3,0,0,42,0,0,0,0,2,0,3,0,0,3,0,3,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2020-05-12,0,0,3,0,0,1,0,2,0,0,0,0,103,0,0,3,0,5,0,0,34,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,2,0,4,0,0,0,0,2,0,0,0,0,110,0,0,1,0,4,0,0,39,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0
2020-05-14,1,0,4,1,0,0,0,2,0,0,1,0,135,0,0,1,0,6,0,0,37,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-05-15,1,0,7,0,0,0,0,0,0,0,1,0,131,0,0,0,0,3,0,2,33,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0
2020-05-16,1,0,3,0,1,1,0,1,1,0,0,0,150,1,0,1,0,4,0,1,70,0,0,0,1,1,0,2,1,1,0,0,1,0,0,2,2,0,1,4,0,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,1,0
2020-05-17,0,0,6,1,0,0,0,0,0,0,0,0,126,0,3,0,0,2,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2020-05-18,0,0,5,0,0,1,0,0,0,0,1,0,118,0,3,1,0,1,0,0,37,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0
2020-05-19,1,0,7,0,1,0,0,0,0,0,0,0,77,0,0,0,0,2,1,0,48,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0
2020-05-20,0,0,1,0,0,0,0,0,0,0,0,0,136,0,2,0,0,1,1,0,41,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0
2020-05-21,1,0,10,0,0,1,0,1,0,0,1,0,178,0,2,0,0,9,0,2,64,1,0,0,0,3,0,0,1,2,0,0,2,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,1
2020-05-22,0,0,6,0,0,1,0,2,0,0,1,1,159,0,0,0,0,3,0,0,31,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,3,0,0,0,4,1,0,0,0,0
2020-05-23,0,0,4,0,2,1,0,0,0,0,0,0,138,0,0,1,0,0,0,0,51,0,0,0,0,1,1,0,0,3,0,1,1,0,0,0,0,4,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-24,0,0,4,0,0,0,0,0,0,0,1,0,127,1,0,0,0,3,1,1,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-25,0,0,6,0,0,0,0,1,0,0,0,0,129,0,1,1,0,3,0,2,43,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2020-05-26,0,0,2,0,1,0,0,0,0,0,1,0,143,0,0,0,0,5,0,0,68,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0
2020-05-27,1,0,9,0,0,2,0,0,1,0,0,0,199,0,0,1,1,7,1,1,49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,1,0,0
2020-05-28,0,1,9,0,0,0,0,0,0,0,0,0,193,0,2,3,0,1,0,1,57,0,0,0,0,1,0,2,0,1,1,0,5,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0
2020-05-29,1,0,6,0,0,1,0,2,0,0,0,0,229,0,1,0,0,4,0,0,65,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,4,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0
2020-05-30,2,0,7,0,0,0,0,0,0,0,0,1,250,0,0,0,0,5,0,2,62,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,0,0,0,1
2020-05-31,0,0,3,1,0,0,2,1,0,1,0,0,202,0,0,0,0,4,0,0,54,0,0,0,0,3,0,0,2,0,0,0,5,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020-06-01,2,0,3,0,1,0,0,6,0,0,1,1,226,0,0,0,0,8,0,0,44,0,0,0,0,2,0,0,1,0,5,1,4,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0
2020-06-02,0,1,10,0,0,0,0,1,0,0,0,0,172,0,1,0,0,3,0,0,47,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1
2020-06-03,1,0,6,0,0,3,0,1,0,0,0,1,212,0,0,0,0,3,0,0,40,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,2,3,0,0,2,0,4
2020-06-04,1,5,46,1,2,7,2,3,4,1,1,0,633,1,2,4,0,8,1,2,190,2,0,0,0,5,1,8,0,6,5,0,21,1,2,4,8,8,0,10,3,6,2,3,4,1,1,3,0,1,0,3,2,3,1,0,3,1,1,7,1,4,7,0,0
2020-06-05,9,8,144,1,2,10,2,12,5,4,4,7,1471,4,11,12,2,37,3,10,409,6,1,5,1,11,3,21,7,14,10,4,36,1,3,6,11,20,1,13,7,16,2,5,1,5,11,2,2,3,9,14,2,15,4,3,5,2,5,20,13,5,11,7,8
2020-06-06,6,7,74,1,2,8,0,15,5,0,3,6,1087,0,16,3,1,36,3,3,307,3,5,2,2,13,2,10,11,7,4,2,37,1,2,4,4,12,1,4,2,5,0,1,2,5,7,1,4,1,10,9,1,5,3,7,1,0,3,23,6,4,8,1,2
2020-06-07,6,1,62,4,3,10,3,14,4,1,0,7,924,1,8,14,3,29,3,3,249,3,4,2,0,23,1,3,5,9,12,2,23,1,1,4,4,5,3,11,4,9,2,0,10,4,6,1,4,1,7,11,4,5,2,1,1,0,4,13,4,0,8,1,3
2020-06-08,5,2,44,4,6,8,3,12,5,1,2,2,696,0,8,4,1,11,6,2,186,2,2,0,0,10,1,7,3,3,5,5,23,1,1,5,9,11,1,9,6,11,3,0,0,3,0,1,4,0,12,2,0,7,0,1,0,0,6,11,2,3,5,1,1
2020-06-09,4,1,24,0,1,10,1,8,1,0,1,3,591,0,4,3,1,14,1,3,134,3,0,2,0,4,2,5,1,3,4,1,19,1,0,2,5,1,4,10,2,3,3,0,2,1,3,1,0,0,2,3,1,11,0,0,0,2,0,18,1,1,6,2,0
2020-06-10,5,2,26,0,2,1,1,11,0,0,1,0,439,0,6,1,1,9,5,2,96,3,0,0,1,2,0,2,4,2,3,3,5,0,0,1,5,7,1,4,0,7,0,1,1,0,0,1,2,5,2,3,3,4,1,1,0,1,0,18,2,1,8,3,2
2020-06-11,1,1,20,4,5,1,0,5,1,0,0,1,395,0,0,7,0,9,1,0,94,1,3,0,1,3,0,0,1,2,1,0,9,0,1,2,3,4,0,5,2,2,0,0,0,3,2,0,0,2,0,7,1,0,2,1,0,0,1,7,2,3,7,2,0
2020-06-12,3,2,17,0,0,3,0,5,0,0,4,0,368,0,1,7,0,8,0,0,96,4,0,1,2,1,1,4,1,1,0,0,4,0,0,3,2,8,1,5,2,3,1,1,1,1,3,1,0,0,1,3,1,2,1,1,0,2,0,7,3,2,5,0,0
2020-06-13,4,0,11,0,3,2,0,1,1,0,1,1,356,0,3,3,0,5,1,5,90,0,0,2,1,2,1,0,0,0,3,0,3,0,0,0,6,5,0,4,6,1,0,0,0,1,1,1,3,3,1,1,1,0,1,2,0,2,1,5,3,2,8,0,0
2020-06-14,5,1,21,1,1,2,1,0,0,0,0,5,395,0,3,1,0,7,1,0,77,0,0,0,1,4,3,2,0,0,1,1,16,0,0,3,3,2,1,6,0,1,1,1,1,1,4,2,2,1,7,3,0,3,0,1,0,0,3,11,4,1,7,1,0
