date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Sunamganj,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-15,4,3,24,1,1,9,0,1,0,0,0,0,388,0,2,6,0,16,2,2,87,1,0,0,0,2,0,2,0,3,2,1,19,0,1,0,1,3,0,4,3,2,0,0,0,3,8,1,0,0,1,2,2,5,0,2,0,0,0,1,3,2,1,1,0
2020-06-16,3,0,32,1,0,1,1,12,0,0,1,1,384,0,4,3,2,7,1,1,94,1,1,0,0,8,0,2,1,4,3,1,1,0,1,0,2,4,0,5,0,1,1,0,1,0,2,0,0,0,2,3,0,7,0,0,0,2,4,3,4,1,7,0,6
2020-06-17,4,0,7,0,7,1,0,2,2,1,0,0,353,0,4,2,0,4,0,1,55,3,0,0,0,1,0,1,3,1,2,1,5,1,0,1,2,5,0,2,0,3,0,1,0,1,8,0,0,1,2,5,2,0,0,1,0,0,6,2,1,0,1,3,0
2020-06-18,6,1,49,1,5,3,2,9,6,8,2,8,1061,4,0,10,3,35,3,3,267,8,4,3,0,23,1,14,5,6,5,4,25,2,4,5,9,18,0,18,3,6,2,2,2,1,4,3,4,0,11,13,11,6,3,5,5,4,5,11,13,1,18,0,2
2020-06-19,1,0,21,2,4,3,0,7,2,1,3,1,561,0,9,3,3,9,2,1,149,5,1,3,2,8,1,2,2,2,1,1,8,3,0,1,4,9,0,3,0,3,1,0,0,3,0,1,0,1,4,5,3,4,1,0,1,0,2,12,5,0,6,0,1
2020-06-20,0,1,11,0,5,3,0,9,5,0,1,2,416,0,7,2,0,5,0,2,113,1,2,4,0,5,1,0,0,2,3,1,3,0,0,1,0,5,0,2,4,6,0,2,1,1,2,0,1,0,7,7,2,0,0,1,0,1,1,12,2,0,7,1,1
2020-06-21,1,2,7,0,1,3,1,2,0,1,1,1,356,0,5,5,0,9,1,0,77,0,0,0,2,3,4,1,2,3,2,0,3,1,1,3,3,2,0,2,0,1,1,0,0,4,2,1,0,1,2,0,1,2,0,0,0,0,1,8,8,0,4,1,1
2020-06-22,2,1,12,0,6,2,0,7,2,1,0,1,297,0,3,5,0,7,0,3,77,4,2,5,6,4,1,0,1,2,2,0,9,2,0,1,1,5,0,4,0,3,0,0,0,4,2,1,0,1,3,0,2,3,0,5,0,0,0,3,3,0,0,1,1
2020-06-23,6,2,5,0,1,3,0,2,3,0,1,2,282,0,2,0,0,2,1,3,58,0,0,2,0,9,1,0,2,2,0,0,3,1,3,1,0,4,0,2,1,2,0,0,0,2,2,0,0,3,2,3,0,4,2,0,1,1,4,9,4,1,7,1,0
2020-06-24,3,1,9,0,1,0,0,3,0,0,0,1,293,0,0,0,0,3,0,1,90,2,0,1,0,2,2,1,1,7,5,1,4,0,1,4,3,6,0,3,1,3,0,1,0,0,2,1,0,2,1,1,2,1,2,2,1,1,0,7,3,2,0,1,1
2020-06-25,1,3,6,0,1,3,0,4,0,0,1,2,288,0,5,2,1,8,0,0,54,1,0,1,1,2,3,2,1,0,1,0,5,0,0,6,2,2,0,10,1,2,0,0,0,1,0,0,0,1,3,0,1,4,0,0,1,0,0,4,4,2,0,0,1
2020-06-26,0,6,11,0,1,1,0,1,1,0,0,0,263,0,1,11,0,3,0,1,37,1,2,1,1,1,0,1,2,0,4,1,3,0,0,2,3,1,1,8,0,6,0,1,0,0,4,2,0,0,6,2,0,0,0,0,2,0,5,3,1,1,1,0,0
2020-06-27,1,3,15,0,1,1,1,4,2,1,0,1,255,0,2,1,0,9,2,1,36,1,0,0,0,2,0,1,1,0,0,0,7,0,1,9,1,3,0,1,0,2,0,2,0,0,2,0,0,0,3,2,0,1,0,0,0,0,1,3,4,3,1,0,0
2020-06-28,3,2,5,0,3,0,0,2,0,0,0,1,212,1,3,3,0,2,0,0,54,0,0,0,0,2,0,0,1,1,2,3,6,0,0,0,1,2,1,2,0,4,0,0,0,3,0,0,0,2,7,3,1,1,0,0,1,0,1,3,6,3,2,0,0
2020-06-29,4,0,8,0,1,1,0,4,1,0,0,0,208,0,0,5,0,1,0,0,51,0,0,0,0,0,0,0,0,2,1,0,7,4,0,1,0,0,0,3,1,2,0,0,0,2,7,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,1,0,3
2020-06-30,3,0,9,1,0,2,1,1,0,0,0,0,202,0,1,1,0,3,0,0,44,0,0,0,1,2,0,0,2,1,1,1,2,0,1,2,0,1,0,2,0,0,1,1,0,0,0,1,0,0,5,0,0,2,4,0,0,0,1,1,4,1,3,0,0
2020-07-01,1,0,9,0,1,0,0,2,0,0,2,1,164,0,0,5,0,3,1,0,38,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,2,1,0,1,2,1,1,0,0,1,3,1,0,0,3,1,1,0,0,0,0,0,0,1,2,0,3,0,0
2020-07-02,1,1,3,0,3,0,0,0,0,0,1,0,153,1,0,2,0,0,0,0,18,1,0,1,0,0,0,0,1,0,0,0,9,0,3,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,2,7,0,1
2020-07-03,0,1,4,1,0,1,0,0,0,0,0,0,120,0,2,0,1,0,2,0,35,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,1,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,1,0,0
2020-07-04,1,1,2,0,1,2,0,1,1,0,0,0,148,0,2,6,1,3,1,0,45,1,1,0,0,0,0,0,0,3,1,0,2,0,1,1,1,1,0,2,0,1,0,0,0,0,2,1,1,1,0,0,1,1,0,1,0,0,1,2,0,0,0,0,1
2020-07-05,2,2,4,0,1,0,0,0,0,0,0,0,112,0,0,4,1,1,0,1,34,0,0,3,0,1,1,1,0,0,0,0,1,0,0,2,3,0,1,0,1,4,0,0,0,2,0,0,0,0,1,1,1,2,0,0,0,0,0,3,1,0,1,0,0
2020-07-06,2,0,5,0,1,1,0,2,0,0,0,0,143,2,1,0,0,0,0,1,29,0,0,0,0,3,0,0,0,0,1,0,3,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3,0,1,1,0
2020-07-07,0,0,2,0,1,1,0,1,0,0,0,0,142,0,3,0,0,1,0,0,30,2,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5,5,1,3,2,5
2020-07-08,1,2,6,3,0,0,0,0,0,0,0,0,133,0,3,3,0,3,1,0,37,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,3,1,0,0,0,0,2,2,2,0,0,0
2020-07-09,0,2,3,1,3,0,0,4,1,0,0,0,118,0,1,1,0,3,0,0,31,0,0,0,1,0,2,0,1,0,2,0,2,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
2020-07-10,0,2,3,0,0,2,0,0,0,1,0,0,118,0,0,2,1,0,1,0,20,1,0,0,0,1,1,0,2,0,2,0,1,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,4
2020-07-11,0,0,2,0,0,0,0,1,0,0,0,0,120,0,0,1,0,1,1,1,22,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5,1,3,0,1
2020-07-12,1,0,1,0,0,0,0,1,0,0,0,0,123,0,1,1,0,2,0,0,10,2,0,0,2,3,0,0,1,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
2020-07-13,2,1,4,0,1,0,0,1,0,0,0,0,116,0,0,0,0,1,7,0,22,0,0,0,1,2,0,0,1,4,4,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0
2020-07-14,2,0,3,0,0,0,0,3,1,2,0,0,104,0,0,1,0,1,1,0,29,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,1,0,0,0,3,1,0,0,1,0,1,0,0,1,2,0,3,0,0,0,0,0,3,1,0,2,0,0
2020-07-15,4,0,0,0,0,0,0,0,0,1,0,0,143,0,0,2,0,0,0,0,9,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-07-16,0,0,0,0,3,0,0,0,0,0,0,0,137,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,1,0
2020-07-17,0,0,1,0,2,1,0,0,0,0,0,0,136,1,0,0,0,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
2020-07-18,0,0,0,1,0,0,0,0,0,0,0,1,149,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
2020-07-19,0,0,0,0,0,1,0,0,0,2,0,0,131,0,0,0,1,1,0,0,10,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,5,0,0
2020-07-20,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,2,0,0
2020-07-21,0,0,1,0,0,1,0,0,0,0,0,1,105,0,0,0,0,0,0,2,6,1,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-07-22,0,0,1,0,0,1,0,0,0,0,0,1,130,0,0,0,0,2,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0
2020-07-23,1,0,2,0,1,0,0,0,0,0,0,1,149,0,0,2,0,0,0,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0
2020-07-24,0,1,1,0,0,0,0,0,0,0,0,0,131,0,0,1,0,1,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
2020-07-25,0,0,1,0,0,2,0,0,0,0,0,0,87,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,1,0,1,0,0,1,0,1,0,0,123,0,0,1,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,1,0,0,0,0,0,1,0,0,0,115,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-28,0,0,0,0,0,0,0,1,0,0,0,0,116,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-07-29,3,1,1,0,0,0,0,1,0,1,0,0,143,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30,0,0,1,0,1,0,0,0,0,0,0,0,108,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1
2020-07-31,0,0,1,0,0,0,0,2,0,0,0,0,109,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,0,0,1,0,0,0,0,3,0,0,0,0,67,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
2020-08-02,1,0,1,0,0,0,0,0,0,0,0,0,91,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2020-08-03,1,0,0,0,0,0,0,1,0,0,0,0,125,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-08-04,1,0,1,0,0,1,0,0,1,0,0,1,158,0,1,0,0,0,1,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-08-05,0,0,3,0,0,0,0,2,0,0,0,0,124,0,0,1,0,0,0,2,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0
2020-08-06,1,0,2,0,1,0,0,0,0,0,0,0,113,0,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0
2020-08-07,0,0,0,0,0,0,0,1,0,0,0,0,135,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-08,1,0,0,0,1,0,0,1,0,0,0,0,106,0,0,0,0,1,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,0,1,1,0,0,0,88,2,1,0,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2020-08-10,0,0,1,1,0,0,0,0,1,0,0,0,123,0,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-11,0,0,1,0,0,0,0,0,0,0,0,0,112,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2020-08-12,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-13,1,0,1,0,1,0,0,0,0,1,0,0,95,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2020-08-14,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,1,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-15,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-08-16,0,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
2020-08-17,1,0,1,0,0,0,0,0,0,0,0,0,89,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-08-18,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-19,1,0,0,0,0,0,0,0,0,0,0,0,79,1,0,1,0,1,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
2020-08-20,1,0,0,0,0,1,0,0,0,0,0,0,83,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0,0,1,0,0,0,0,96,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-22,0,0,1,1,0,0,0,0,0,0,0,0,64,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,0,0,2,0,0,0,0,2,0,0,0,0,95,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-08-24,0,0,1,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-08-25,0,1,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-08-26,1,0,0,0,0,0,0,1,0,0,0,0,98,0,0,3,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-27,0,0,0,0,1,0,0,0,0,0,0,0,101,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-28,0,0,0,0,1,0,0,0,0,0,0,0,95,0,0,0,0,1,0,1,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-08-29,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,0,0,1,0,0,0,0,0,0,0,0,0,96,0,1,0,0,0,0,1,18,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,0,0,1,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
