date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Maulvibazar,Sylhet,Feni,Tangail,Bagerhat,Chuadanga,Munshiganj,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Jamalpur,Chandpur,Patuakhali,Rajbari,Jaipurhat,Gazipur,Narail,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Pabna Police line,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-03,3,1,0,0,0,2,0,0,2,2,0,2,1,1,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,3,3,0,9,2,0,1,1,0,0,0,0,1,5,0,0,0,3,54,0,1,0,1,0,0,4,0,1,1,1,0,1,0,0,0,0,0
2020-04-04,4,0,1,2,2,1,0,0,23,0,8,3,3,2,0,2,0,4,3,1,5,6,0,1,5,0,4,0,0,6,0,0,23,2,0,3,0,2,2,1,2,1,5,0,1,0,3,123,0,1,0,3,0,0,4,0,1,0,0,0,0,1,2,3,0,1
2020-04-05,6,3,1,4,1,0,0,0,29,1,0,1,4,3,2,0,3,4,8,2,1,3,0,1,0,7,4,0,0,5,6,0,9,1,1,3,0,2,1,0,0,0,1,2,1,0,0,152,7,3,0,4,0,0,2,0,5,1,3,0,4,1,2,4,0,0
2020-04-06,12,3,5,3,2,3,9,0,36,2,3,3,9,3,1,2,9,5,7,0,0,2,0,0,2,0,4,5,1,4,22,0,30,0,1,3,1,11,3,0,0,3,16,0,0,0,1,389,4,0,3,0,4,0,4,0,5,3,3,0,8,1,6,14,1,0
2020-04-07,4,0,1,1,1,1,2,1,8,0,1,1,3,6,0,0,4,1,2,0,0,1,0,0,0,1,2,1,1,1,3,0,12,0,0,3,1,0,2,3,0,0,6,0,2,0,0,112,0,1,4,5,2,0,6,0,1,3,1,0,3,1,0,5,0,0
2020-04-08,3,0,0,0,0,0,0,1,3,0,0,0,3,7,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189,0,3,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0
2020-04-09,1,0,3,0,0,1,1,0,6,0,3,0,2,3,1,0,2,1,2,0,0,0,0,0,0,0,3,0,0,4,2,3,4,0,1,1,0,0,2,0,0,0,1,0,1,0,0,46,1,0,1,1,2,0,3,0,1,0,0,0,1,1,0,2,0,0
2020-04-10,0,0,1,1,1,2,0,0,3,0,0,2,0,0,0,0,1,0,4,2,0,1,0,0,0,1,1,0,0,7,1,1,3,0,0,1,0,0,3,0,0,1,1,1,1,155,1,59,1,1,3,2,0,0,2,0,0,0,1,0,0,0,0,1,1,0
2020-04-11,0,0,0,0,0,0,0,0,9,0,0,0,3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,350,0,30,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-04-12,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,287,0,22,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
2020-04-13,2,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,1,0,0,0,1,0,0,199,0,32,0,1,0,4,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2020-04-14,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,2,2,0,0,0,0,0,202,0,22,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0
2020-04-15,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,1,1,0,1,0,0,0,0,2,0,0,230,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-04-16,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,135,0,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-04-17,1,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,2,0,0,231,0,24,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,182,0,20,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,127,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,2,1,0,2,0,0,0,0,2,0,0,4,1,0,7,0,0,0,0,2,2,0,0,0,1,0,0,195,0,29,0,4,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-04-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,230,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-22,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,2,1,0,0,0,0,3,1,0,0,1,0,0,247,0,44,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0
2020-04-23,1,0,1,7,0,1,1,1,5,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,2,0,0,179,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,1,1,0,0,2,0,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,4,0,0,183,0,27,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
2020-04-25,2,0,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,136,0,15,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,5,1,0,165,1,25,0,0,0,0,0,0,0,0,3,1,1,0,0,1,1,1,2,1
2020-04-27,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,2,31,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,2,1,0
2020-04-28,1,0,0,2,0,1,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2,18,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020-04-29,0,0,1,1,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,88,1,26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,1,0,0,0,2,0,0,123,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,107,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,365,1,40,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,1,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,213,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
2020-05-04,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,133,0,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,1,0,2,0,0,2,3,0,0,93,0,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
2020-05-06,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,105,1,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-07,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,110,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-05-08,3,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,110,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,3,0,2,0,0,1,1,0,0,0,0,0,1,0,0,65,0,27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-05-10,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,78,0,38,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-05-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,79,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,2,0,0,0,0,1,0,0,77,0,14,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,72,1,40,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2020-05-15,0,1,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,61,2,27,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0
2020-05-16,0,0,0,0,1,0,0,0,7,1,0,0,2,0,1,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,128,0,41,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0
2020-05-17,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,81,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,89,0,32,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2020-05-19,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,58,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
2020-05-20,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,80,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,3,0,1,0,0,0,0,0,5,0,0,2,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,134,0,46,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-05-22,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,116,0,43,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-05-23,0,1,0,0,0,0,0,0,7,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,87,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,1,0,0,0,1,0,0,0,6,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,97,1,23,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2020-05-25,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,117,1,21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-26,1,0,0,0,0,0,0,0,6,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,137,0,49,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,1,1,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,1,0,0,154,0,45,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0
2020-05-28,3,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,4,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,7,0,0,0,0,0,0,0,0,0,119,0,37,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2020-05-29,1,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,155,0,42,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2020-05-30,1,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,4,0,0,162,0,54,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-31,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,128,0,49,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-06-01,4,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,175,0,40,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0
2020-06-02,2,0,0,0,1,0,0,0,5,0,1,1,0,0,0,0,1,1,1,0,0,3,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,141,0,37,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2020-06-03,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,6,0,0,116,0,31,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-06-04,8,0,1,1,0,0,0,0,21,1,1,0,4,3,0,1,5,4,0,0,0,3,0,0,1,1,4,1,0,2,1,0,2,1,1,0,0,0,4,1,0,0,7,0,1,258,0,89,0,3,6,3,1,0,3,0,3,1,2,1,1,0,0,1,0,0
2020-06-05,48,0,4,7,3,5,4,1,106,0,3,8,10,15,1,4,26,12,4,6,0,6,1,0,3,0,9,0,3,8,10,0,23,5,0,9,3,5,7,4,4,0,11,0,0,992,4,269,3,1,11,4,3,1,5,0,10,2,3,1,8,2,1,5,0,0
2020-06-06,18,6,1,2,5,6,0,2,46,0,1,5,3,5,1,5,14,6,3,1,5,4,1,1,0,1,5,1,1,18,12,0,19,7,1,3,1,1,18,2,0,2,24,0,2,748,5,230,3,3,2,2,1,0,6,0,6,0,4,0,12,7,2,3,0,0
2020-06-07,21,1,4,3,1,6,1,1,41,5,2,5,3,2,0,3,6,10,2,0,1,6,0,1,0,1,2,2,1,3,8,0,13,1,0,14,1,0,9,0,0,1,16,1,0,663,0,188,3,3,4,4,0,5,5,0,20,3,6,1,3,2,2,2,2,0
2020-06-08,18,0,1,7,1,0,2,0,49,1,0,3,1,9,1,0,4,4,6,0,0,2,0,1,1,0,6,4,3,5,3,0,7,9,0,5,2,0,7,0,0,2,13,1,3,526,1,149,0,0,1,4,1,0,4,0,1,0,9,0,4,2,0,2,0,1
2020-06-09,5,1,1,1,0,1,1,2,27,0,0,2,9,6,0,0,2,1,5,0,0,8,0,1,1,0,2,2,2,0,8,0,19,1,1,4,2,3,8,0,0,0,14,0,0,475,1,94,0,1,3,3,4,0,1,0,4,1,3,1,0,0,1,0,0,4
2020-06-10,3,3,0,2,0,1,0,0,26,1,0,0,2,1,1,2,4,4,0,1,0,0,0,0,1,1,2,1,5,9,24,0,5,0,0,5,0,3,3,0,0,2,8,0,0,315,6,89,3,0,2,0,1,1,1,0,4,1,7,0,5,3,0,4,0,0
2020-06-11,7,0,0,1,0,2,0,0,11,1,0,1,2,0,2,2,6,4,1,1,0,0,1,0,0,0,1,0,0,0,2,0,6,1,1,6,0,1,0,0,1,0,8,1,3,274,0,67,2,0,0,1,2,1,1,0,1,1,4,0,4,1,2,1,0,2
2020-06-12,9,0,0,5,2,3,0,2,13,0,0,16,2,3,0,5,5,2,1,0,0,1,0,0,0,0,0,0,2,4,5,0,1,1,0,4,0,1,0,0,1,1,7,0,0,271,1,68,1,0,4,3,1,1,0,0,3,0,1,0,0,0,0,0,0,0
2020-06-13,5,0,2,1,2,0,1,0,18,3,0,2,5,1,0,2,1,6,3,3,0,4,0,0,0,0,1,0,0,0,2,0,2,0,0,2,0,1,2,1,0,0,2,2,1,305,0,72,0,0,2,0,0,1,3,0,1,1,3,0,1,1,1,2,0,1
2020-06-14,6,0,3,2,0,2,1,0,19,0,0,1,4,2,1,0,1,3,6,1,0,0,0,1,0,0,0,3,0,0,6,0,10,1,0,0,0,0,6,1,0,0,7,0,0,273,1,50,0,0,2,2,0,2,0,0,4,1,1,0,5,1,0,2,0,0
2020-06-15,8,0,0,2,0,0,0,0,18,0,0,2,3,1,1,1,3,3,1,1,0,4,1,1,0,0,1,0,0,2,4,0,2,0,0,2,0,3,1,0,0,1,12,0,1,283,2,63,0,1,1,0,0,1,1,1,2,1,5,0,3,1,0,1,0,0
2020-06-16,7,1,0,5,1,1,1,0,20,0,1,0,4,2,1,1,5,3,1,2,0,0,1,0,0,0,2,5,0,7,6,0,2,0,0,4,0,3,4,2,0,0,5,0,2,312,0,70,0,0,3,0,1,0,1,0,1,0,0,3,0,0,0,5,0,0
2020-06-17,4,0,0,0,6,0,0,0,12,2,1,1,2,3,0,0,1,2,1,0,0,1,0,1,0,1,0,0,1,3,3,1,3,2,0,1,2,0,2,0,1,0,6,4,1,254,1,63,2,0,0,1,0,2,1,0,4,1,3,0,0,1,0,3,0,0
2020-06-18,5,7,8,2,3,1,0,0,40,3,5,5,14,5,1,2,11,7,8,2,4,2,2,0,0,1,3,0,0,10,12,0,7,3,0,5,4,5,4,2,2,1,25,7,0,764,4,222,3,0,2,7,2,0,1,0,16,3,2,1,5,2,1,14,1,0
2020-06-19,16,1,1,3,2,1,3,0,32,1,0,1,4,2,0,4,7,8,1,1,1,0,1,1,0,0,2,1,0,3,10,1,7,3,0,2,2,0,1,1,0,1,10,0,0,431,2,116,2,0,2,2,0,1,1,0,8,1,2,1,8,0,2,0,0,0
2020-06-20,7,1,1,1,2,0,1,1,10,4,1,1,2,4,0,3,1,7,1,1,2,3,3,1,0,1,2,0,1,2,6,1,9,3,0,3,0,2,3,3,0,0,2,0,0,384,2,91,0,1,0,2,0,0,3,0,7,2,0,0,6,5,1,2,1,0
2020-06-21,3,0,0,2,0,1,0,1,7,0,0,4,4,0,0,4,1,4,3,1,0,0,3,1,0,0,2,0,0,4,3,1,4,2,0,2,0,0,1,0,0,0,2,1,0,237,2,51,3,0,1,2,0,0,3,0,6,1,2,0,1,0,2,1,0,0
2020-06-22,9,0,0,3,6,3,0,0,10,0,0,1,3,0,0,0,4,2,2,1,0,0,0,1,0,0,2,0,0,1,0,1,2,2,1,2,1,1,0,2,0,0,6,1,0,239,0,56,1,0,0,2,0,0,2,0,0,1,3,0,0,0,0,4,0,2
2020-06-23,1,1,1,1,2,0,0,0,7,0,0,1,1,0,0,4,5,4,1,0,0,1,0,1,0,0,3,0,2,2,2,1,4,6,0,3,0,2,1,0,2,1,2,0,0,241,0,40,0,0,1,0,0,0,1,0,8,2,5,1,1,0,1,1,0,0
2020-06-24,6,0,2,1,4,1,0,0,10,0,0,1,0,3,0,1,2,1,2,1,0,1,0,0,1,1,1,0,0,3,1,0,2,0,0,0,0,0,2,0,1,0,1,1,0,224,0,74,0,1,0,3,0,0,1,0,2,0,1,1,1,0,0,0,1,2
2020-06-25,5,2,0,2,1,1,0,2,5,0,0,3,5,0,0,1,8,2,5,0,0,0,1,1,0,0,1,0,1,2,1,1,4,2,0,0,1,2,3,1,0,0,0,0,1,216,1,38,0,1,0,1,0,0,0,0,2,0,1,0,0,0,2,5,0,0
2020-06-26,3,0,2,1,1,0,2,1,7,0,0,1,6,1,1,1,2,7,1,0,1,0,0,1,1,0,0,0,0,2,2,0,2,1,0,6,3,1,1,1,0,0,1,0,0,157,0,30,0,0,3,3,2,0,2,0,1,0,1,0,2,0,0,2,0,0
