date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Tangail,Sylhet,Chuadanga,Bagerhat,Feni,Chapainawabganj,Munshiganj,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Jamalpur,Chandpur,Narail,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Satkhira,Dinajpur,Faridpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-03,3,0,0,0,0,1,3,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,6,0,0,3,1,0,1,0,0,0,3,0,1,0,2,40,0,2,0,2,0,0,0,6,2,0,0,0,1,0,0,0,2
2020-04-04,7,0,2,3,2,1,5,0,21,2,0,3,0,4,4,2,3,1,1,2,0,0,0,1,2,2,8,1,0,4,6,0,31,2,0,8,1,2,3,2,1,1,11,1,2,0,2,106,0,0,1,4,0,0,5,7,0,4,0,1,1,2,2,0,1
2020-04-05,14,1,2,0,4,1,2,0,18,0,0,1,2,8,3,5,7,1,2,4,2,2,0,0,6,0,6,3,2,3,6,1,17,0,0,9,0,7,6,0,0,0,13,2,1,0,2,138,1,0,2,2,2,0,1,6,1,6,0,3,8,2,8,0,1
2020-04-06,19,6,1,3,2,6,11,0,19,5,0,6,1,7,2,0,13,1,0,5,0,1,1,0,2,0,5,1,4,16,17,1,33,1,3,12,2,11,5,0,0,0,20,0,1,0,1,248,2,0,0,5,3,0,4,5,0,4,3,3,3,2,2,1,0
2020-04-07,8,1,3,1,0,0,5,0,20,3,0,2,4,0,1,2,3,0,0,0,0,2,1,0,3,0,1,2,0,0,4,0,9,2,0,1,1,1,2,0,0,0,8,2,0,0,1,103,1,0,0,0,2,0,4,7,1,2,0,6,2,1,4,0,1
2020-04-08,1,0,0,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,0,4,0,1,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,185,0,0,1,0,0,0,1,2,0,1,0,0,0,2,0,0,0
2020-04-09,3,0,3,0,1,1,1,0,3,1,1,1,2,1,0,4,1,0,1,1,0,0,1,0,0,0,3,0,0,5,2,1,12,1,3,1,0,1,2,0,0,2,7,1,1,0,1,58,1,0,0,1,3,0,0,1,0,1,0,1,1,1,0,0,0
2020-04-10,0,0,4,2,1,0,0,0,4,0,1,0,1,0,1,4,0,0,1,3,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,3,1,1,3,0,0,0,5,0,2,108,0,41,2,0,1,1,3,1,3,1,0,1,0,1,0,0,0,0,0
2020-04-11,3,0,0,0,1,0,1,0,7,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,4,0,0,0,2,0,2,1,0,0,0,0,0,292,0,25,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2020-04-12,1,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,1,1,7,0,0,0,0,0,0,0,0,0,2,0,0,369,0,26,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
2020-04-13,1,0,1,2,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,1,0,1,1,0,0,0,3,0,0,251,0,25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2020-04-14,2,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,1,0,1,0,0,1,1,187,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2020-04-15,1,0,2,4,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,4,1,1,2,0,1,0,0,0,0,1,0,0,197,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-04-16,1,0,0,1,0,0,0,0,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,150,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-04-17,0,0,1,1,0,0,1,0,9,2,0,1,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,5,0,0,199,0,18,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
2020-04-18,1,0,0,0,1,2,0,0,2,0,0,3,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,200,0,13,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2020-04-19,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,127,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-04-20,1,0,0,0,3,1,0,0,3,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,11,0,0,1,1,1,0,0,0,0,4,0,1,218,0,30,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2020-04-21,3,0,0,3,1,0,0,0,0,0,0,3,1,0,0,3,1,0,0,4,1,1,0,0,0,0,0,1,0,5,1,0,9,0,0,1,0,1,0,0,0,0,4,0,0,231,0,40,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
2020-04-22,1,0,0,1,0,0,1,0,6,0,0,3,0,0,1,0,2,5,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,1,0,0,1,2,0,1,0,5,0,0,221,1,47,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
2020-04-23,1,0,2,2,0,0,3,1,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,7,1,0,1,0,1,0,3,0,0,6,0,0,1,0,0,0,5,0,0,235,0,40,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1
2020-04-24,0,2,0,4,1,0,3,0,2,0,1,0,0,3,1,3,7,2,0,1,0,0,0,0,0,3,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,7,0,0,232,1,21,0,1,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0
2020-04-25,3,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,3,0,0,141,0,31,0,0,0,3,1,0,0,0,0,2,0,2,0,0,1,0,0
2020-04-26,2,0,0,2,1,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,3,0,1,0,2,0,0,175,1,26,0,0,0,1,0,0,1,2,1,1,0,0,1,2,1,0,0
2020-04-27,0,0,2,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,145,0,35,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
2020-04-28,1,0,0,1,0,1,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,121,1,31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2020-04-29,3,0,0,1,1,0,0,0,3,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,3,0,0,120,0,38,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0
2020-04-30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,119,0,31,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2020-05-01,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,1,0,0,0,1,0,0,132,0,50,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2020-05-02,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,222,0,27,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,2,0,145,1,24,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
2020-05-04,1,0,0,1,2,0,2,0,2,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,107,1,35,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0
2020-05-05,2,0,0,1,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,1,0,0,0,0,1,0,0,0,3,0,0,114,0,39,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,0,0,0,1,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,118,0,37,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-05-07,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,1,0,1,0,0,0,2,0,0,114,0,46,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
2020-05-08,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,116,2,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-09,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,1,0,0,0,0,6,0,0,88,0,25,0,1,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0
2020-05-10,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,1,0,0,0,0,0,1,2,0,0,85,0,33,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-11,0,0,0,1,0,0,0,0,4,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,1,0,0,0,2,0,0,85,1,33,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2020-05-12,0,1,1,0,0,0,0,0,4,0,0,1,0,0,4,1,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,5,1,0,140,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-05-13,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,1,0,2,0,1,0,0,0,0,2,0,0,107,0,39,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,148,0,38,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2020-05-15,0,0,2,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,126,2,44,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-16,2,0,0,0,0,0,0,0,10,0,0,3,0,2,0,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,182,0,42,1,0,0,0,1,0,0,1,2,1,0,4,0,0,0,0,0
2020-05-17,1,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,11,0,0,170,0,66,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0
2020-05-18,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,2,0,0,142,1,66,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2020-05-19,3,0,0,0,2,0,0,0,12,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,95,0,42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-20,1,0,2,0,0,0,1,0,18,0,0,2,0,2,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,4,0,0,1,0,0,0,0,0,0,2,0,0,144,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-05-21,7,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,15,0,0,193,0,57,2,0,0,0,2,0,2,1,0,1,0,1,0,0,0,0,1
2020-05-22,2,1,0,2,0,1,0,0,16,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,4,2,0,1,1,0,1,0,0,0,3,0,0,195,0,52,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,2
2020-05-23,2,0,1,0,1,0,1,0,5,0,0,3,0,0,0,1,5,0,0,1,0,0,0,0,1,0,3,1,0,2,1,0,4,2,0,3,0,0,0,0,0,0,8,0,0,212,0,63,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0
2020-05-24,3,1,0,0,0,0,1,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,203,0,62,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-05-25,3,0,3,0,0,0,1,0,21,0,0,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,6,0,0,191,0,69,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0
2020-05-26,2,0,1,0,0,1,0,0,9,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,2,5,1,0,5,1,0,1,0,0,0,0,0,0,4,0,0,291,0,97,3,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0
2020-05-27,5,0,0,1,0,0,0,1,18,1,0,1,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,4,0,0,286,0,87,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-05-28,7,0,0,0,2,0,0,0,22,0,0,0,0,2,0,1,9,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,9,0,1,350,0,83,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0
2020-05-29,1,0,0,1,1,1,2,1,11,0,0,1,1,2,1,0,6,2,1,1,1,4,0,0,1,0,2,0,0,4,2,0,7,0,0,1,0,1,0,0,0,0,5,0,0,346,0,93,1,0,1,2,1,0,1,0,1,0,0,0,1,0,0,0,0
2020-05-30,1,0,0,1,0,0,1,0,13,2,0,1,0,2,0,0,0,1,0,2,1,2,0,0,0,0,2,0,0,2,0,0,12,0,0,0,0,0,0,0,1,0,10,0,0,328,0,110,4,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
2020-05-31,0,0,0,0,0,0,1,0,6,0,0,3,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,8,1,0,323,0,97,5,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1
2020-06-01,10,0,1,1,0,1,0,0,8,0,0,1,2,0,0,2,2,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,15,1,0,311,0,72,1,0,0,2,0,0,3,1,0,3,0,1,0,1,0,0,0
2020-06-02,5,0,0,0,0,1,1,0,14,3,1,2,1,2,1,1,5,0,0,2,0,3,1,1,0,0,1,2,1,2,4,0,2,2,0,0,0,0,2,0,0,0,14,0,0,317,0,73,0,1,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0
2020-06-03,2,0,1,1,0,0,0,0,14,0,0,0,0,1,0,1,3,0,0,1,0,2,0,0,1,0,1,0,1,3,2,0,4,0,0,0,0,0,2,0,2,2,28,0,0,298,0,88,0,0,0,2,0,0,0,1,0,0,0,3,0,0,3,0,1
2020-06-04,17,1,1,0,1,0,3,0,31,0,1,1,5,4,4,2,2,0,0,6,0,0,0,1,1,1,3,0,3,2,5,0,18,5,0,5,0,0,11,1,1,1,18,0,0,560,0,115,4,5,3,1,0,0,2,2,0,5,2,1,0,1,0,1,5
2020-06-05,36,1,2,8,2,3,7,2,159,2,1,8,3,28,5,10,19,0,0,17,0,12,0,1,3,1,18,3,1,15,6,1,24,4,1,12,6,1,20,2,2,1,52,1,4,1418,1,322,5,3,1,6,3,0,13,11,2,7,5,6,3,5,3,1,0
2020-06-06,33,4,4,14,2,3,8,1,112,6,0,6,3,18,1,11,13,1,0,18,1,6,1,2,0,2,9,0,2,15,13,0,27,8,0,17,3,2,16,0,4,2,61,4,1,1158,2,226,6,1,4,1,4,0,3,10,7,8,1,13,3,5,4,1,1
2020-06-07,27,1,6,5,5,0,5,1,84,3,4,11,3,14,1,5,11,1,1,10,1,5,1,3,1,0,13,3,3,5,10,1,21,6,0,18,0,4,22,0,5,0,51,2,0,1067,4,226,4,5,1,4,7,2,7,12,3,10,0,14,3,3,3,3,3
2020-06-08,27,4,6,6,1,3,2,1,54,2,0,9,0,18,2,4,16,0,0,10,1,5,0,4,1,0,7,3,2,6,8,3,29,2,1,11,1,3,9,3,2,2,36,0,2,883,1,177,4,2,0,1,3,1,5,5,2,8,4,8,4,3,3,0,1
2020-06-09,18,2,0,2,1,2,3,0,58,0,0,3,0,12,1,4,9,1,1,6,0,6,0,0,2,0,4,0,2,9,7,1,17,3,0,13,2,3,10,1,1,1,34,0,2,804,4,158,0,0,0,3,4,2,1,4,3,3,1,3,0,1,2,0,3
2020-06-10,5,4,0,2,0,2,2,0,40,1,0,6,4,2,3,2,23,1,2,6,2,2,0,0,0,1,0,2,1,17,8,0,11,2,0,7,0,0,10,0,1,0,15,0,0,613,0,115,1,2,0,0,4,1,2,5,2,7,0,10,5,1,0,0,0
2020-06-11,14,5,0,4,5,0,0,0,25,7,1,1,1,5,2,1,10,2,0,8,1,0,1,0,0,0,8,1,1,5,3,0,8,6,0,1,0,1,2,0,1,1,16,0,1,497,0,87,1,0,0,2,2,0,2,1,5,1,1,3,3,5,1,0,0
2020-06-12,12,0,3,1,3,1,3,3,19,3,0,4,2,1,2,1,7,1,0,3,0,1,0,0,1,0,6,0,2,4,5,1,6,1,0,7,0,2,6,2,1,0,5,0,0,441,4,95,2,1,1,2,4,0,2,4,3,2,5,7,3,3,3,0,0
2020-06-13,12,1,1,3,0,0,1,0,24,2,1,4,1,1,1,0,9,3,0,2,0,5,0,0,1,1,2,2,1,5,4,1,5,1,1,8,1,2,3,3,1,0,6,1,2,405,1,60,0,1,0,1,2,2,3,7,0,1,0,5,2,0,1,1,0
2020-06-14,12,0,2,4,1,2,2,0,17,0,3,4,6,9,0,7,4,0,1,3,1,2,1,1,0,0,4,0,2,2,4,0,6,0,0,2,0,0,2,0,1,0,12,0,4,416,1,81,1,0,0,1,2,0,1,0,3,4,1,4,2,1,2,0,0
2020-06-15,9,1,1,7,2,0,2,0,17,1,0,4,1,7,1,1,8,0,1,3,0,0,0,0,0,0,0,3,3,10,3,0,5,3,0,3,0,0,5,0,1,0,15,1,0,379,2,68,1,1,0,2,2,4,2,5,1,4,1,2,2,1,2,0,0
2020-06-16,12,2,1,5,0,1,2,1,10,1,0,2,2,3,2,0,6,2,3,6,0,0,1,0,0,0,3,1,2,3,6,2,5,1,0,4,2,0,8,0,4,0,6,2,1,413,2,78,0,0,0,0,1,0,2,2,1,1,2,5,3,4,4,0,0
2020-06-17,4,1,4,0,1,0,0,0,11,2,0,4,2,6,1,2,7,0,0,2,1,1,0,0,1,0,3,0,1,5,3,0,3,5,0,4,1,0,0,3,1,0,12,0,0,376,2,77,1,0,0,1,2,0,2,5,0,2,2,2,4,0,0,0,0
2020-06-18,18,4,6,7,5,1,5,3,64,0,1,6,10,14,1,11,17,3,2,8,1,8,0,2,4,2,3,1,1,14,11,2,22,4,2,14,1,4,7,4,7,3,42,2,0,951,1,178,4,4,1,1,2,4,5,9,7,5,3,7,2,4,13,1,0
2020-06-19,13,4,2,6,1,0,1,4,30,0,0,0,5,2,1,3,11,2,4,9,1,1,4,0,1,0,2,0,1,9,8,0,8,3,1,3,1,0,5,0,6,0,13,1,0,551,2,102,1,2,0,2,9,1,4,5,4,1,3,4,1,1,4,1,0
2020-06-20,12,2,1,6,0,0,2,0,24,3,2,1,2,7,0,8,4,1,0,4,0,3,4,0,0,0,4,2,3,3,6,2,8,5,0,7,1,3,6,3,1,1,10,0,0,567,1,98,0,3,2,2,4,0,3,9,3,4,2,4,3,0,2,0,0
2020-06-21,5,0,0,1,0,0,3,1,16,0,0,7,4,0,1,2,1,0,0,6,4,2,1,0,1,0,3,0,1,4,4,2,7,0,0,1,1,2,1,0,4,1,10,0,0,349,2,68,2,0,2,0,2,0,0,4,0,3,0,0,0,0,2,1,0
2020-06-22,8,3,2,5,0,0,3,1,31,1,1,7,7,1,1,8,1,5,1,5,0,2,0,3,0,1,2,0,0,5,3,2,3,1,0,7,3,2,2,0,0,4,7,0,0,411,3,62,0,0,0,0,7,0,1,3,2,3,1,3,2,0,3,0,0
2020-06-23,3,0,0,5,1,0,2,1,13,6,0,3,1,1,2,5,3,1,0,8,0,2,0,0,1,2,0,2,1,2,13,3,3,1,2,3,2,2,3,0,1,0,6,1,1,372,1,58,3,3,0,1,4,0,0,5,1,5,1,1,0,2,7,0,2
2020-06-24,7,3,0,3,2,0,1,0,17,1,0,0,0,2,1,1,5,0,2,6,0,2,1,0,0,0,2,1,1,2,7,1,2,1,2,4,1,1,3,0,2,0,7,1,0,327,0,75,1,0,0,1,4,0,0,5,1,2,1,2,2,1,1,0,0
2020-06-25,8,2,2,2,3,0,0,1,17,1,0,3,4,0,0,1,0,0,0,3,0,0,1,0,1,0,0,1,1,4,4,1,3,0,0,2,0,1,1,0,1,0,5,2,0,319,1,45,0,0,1,1,0,0,1,1,2,1,0,3,0,5,0,0,0
2020-06-26,8,0,0,0,1,0,3,2,11,0,1,2,4,3,3,2,0,1,1,9,0,2,0,0,1,1,1,0,3,2,3,1,0,4,0,6,0,1,4,0,1,0,3,3,0,311,2,59,1,2,1,4,1,0,3,4,0,1,1,2,0,0,2,0,0
