date,Comilla,Sunamganj,Unknown,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Magura,Maulvibazar,Tangail,Bagerhat,Chuadanga,Feni,Sylhet,Munshiganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Khagrachhari,Lakshmipur,Noakhali,Narail,Natore,Chandpur,Patuakhali,Jamalpur,Rajbari,Gazipur,Jaipurhat,Sherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-04-03,4,0,0,1,2,0,2,1,0,9,0,0,1,2,1,1,3,2,1,0,0,0,0,0,2,0,0,1,1,0,1,4,0,14,0,0,3,1,3,7,1,0,0,7,0,4,0,2,79,1,1,3,7,0,0,0,2,5,1,1,0,0,0,0,0,0
2020-04-04,10,2,0,2,7,3,1,10,0,22,4,3,10,3,3,1,0,4,8,5,3,6,14,0,2,3,0,6,3,1,1,4,0,18,2,2,13,3,3,4,3,9,8,23,0,3,0,5,202,0,2,3,10,0,0,10,11,3,0,11,6,2,5,0,0,2
2020-04-05,24,3,0,4,0,4,0,2,0,42,2,0,7,11,11,2,1,3,4,2,2,9,16,5,0,3,2,8,1,2,6,12,0,20,1,0,8,5,0,8,0,5,1,22,1,1,0,1,214,4,4,1,9,1,0,2,11,1,0,6,1,6,10,9,0,1
2020-04-06,26,7,0,6,5,4,14,16,2,86,10,2,7,5,13,3,3,3,8,1,7,18,22,4,3,0,1,7,5,0,18,21,2,58,1,6,14,0,2,6,0,14,0,28,1,0,0,2,555,6,5,5,11,11,1,11,11,2,0,13,10,4,8,11,2,0
2020-04-07,10,1,0,5,1,0,4,3,0,20,6,4,2,5,6,0,3,2,3,1,0,2,7,1,2,5,0,4,1,4,4,11,0,19,1,2,7,0,4,2,1,2,1,11,0,1,0,0,193,4,1,1,7,0,0,3,7,6,1,4,0,0,5,8,0,1
2020-04-08,1,0,0,0,0,1,0,1,0,5,1,1,0,0,8,1,0,0,2,0,1,0,4,0,0,0,0,0,0,0,2,0,0,5,0,2,1,0,0,0,0,0,0,6,0,1,1,0,387,0,2,0,0,0,0,1,2,0,1,2,3,0,2,1,2,0
2020-04-09,6,0,0,0,0,2,3,0,2,11,4,0,2,3,3,0,0,0,8,1,1,3,1,3,0,1,1,6,0,0,5,3,2,15,3,3,1,0,3,5,1,3,1,13,2,1,0,2,82,5,1,2,1,0,0,2,1,3,0,6,9,1,4,1,0,1
2020-04-10,4,2,214,1,5,4,0,2,0,6,0,1,2,2,1,0,0,1,6,2,1,6,3,1,0,0,0,3,0,2,1,1,0,8,0,0,3,0,0,5,0,1,0,4,0,0,0,0,117,4,1,2,7,0,1,5,0,0,0,2,1,1,6,2,0,1
2020-04-11,3,0,597,0,0,1,0,1,0,8,0,0,1,0,0,0,0,0,2,0,0,2,1,0,1,0,0,1,0,0,2,1,2,2,0,0,3,1,1,0,0,0,0,4,0,0,0,0,67,1,2,0,2,0,0,4,1,0,0,0,1,0,2,0,0,0
2020-04-12,0,0,596,0,2,4,1,0,0,10,0,1,0,1,0,1,2,2,2,1,0,0,2,1,1,0,0,2,0,2,2,1,1,0,0,1,3,0,0,0,1,0,0,3,2,0,0,1,37,4,1,0,3,0,1,3,4,2,0,3,0,3,0,2,1,0
2020-04-13,3,0,413,2,0,0,3,2,0,7,0,2,2,3,2,1,0,2,2,0,2,1,1,1,0,1,0,2,0,0,1,1,0,9,0,0,0,0,0,1,0,2,0,4,0,0,0,1,59,0,0,0,8,1,0,1,1,0,0,2,5,0,0,0,0,2
2020-04-14,6,0,384,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,4,0,1,1,2,0,10,1,0,1,0,0,2,1,2,1,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-04-15,3,0,393,0,12,0,0,2,0,2,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,9,0,1,0,3,38,1,3,4,2,0,0,0,0,0,1,0,1,0,1,2,0,0
2020-04-16,0,0,227,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2020-04-17,0,0,305,1,3,0,0,4,0,9,1,0,2,2,3,3,0,1,2,0,0,2,3,0,0,1,0,0,0,0,5,0,1,4,0,0,1,0,0,1,0,0,0,6,0,1,0,0,51,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0
2020-04-18,7,0,328,0,0,3,3,2,0,4,1,1,3,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0,2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,38,2,0,3,2,0,0,3,3,0,1,0,0,0,0,2,0,0
2020-04-19,0,0,240,1,0,0,0,2,0,7,0,1,0,3,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,5,0,1,0,0,32,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
2020-04-20,2,0,398,1,0,0,3,1,0,12,3,0,1,1,3,1,0,1,0,0,0,0,0,2,0,1,0,3,2,0,4,5,0,3,0,0,1,2,0,3,0,2,0,4,0,1,0,3,71,2,2,1,2,0,0,6,1,1,0,0,1,0,1,2,1,0
2020-04-21,1,0,550,0,3,3,0,0,0,10,0,0,2,1,0,0,0,2,2,0,0,1,4,2,1,0,0,1,1,0,6,1,0,15,0,0,2,0,0,1,0,0,0,13,0,1,0,1,78,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
2020-04-22,3,0,475,0,5,4,1,2,0,8,0,0,0,3,0,1,0,2,0,0,5,1,2,0,0,1,1,1,0,0,6,8,1,8,2,2,2,1,1,1,4,4,0,4,0,0,0,0,85,1,2,4,1,0,1,2,6,6,0,1,0,0,1,5,0,0
2020-04-23,6,0,364,0,2,1,0,3,0,10,0,0,3,3,0,0,0,0,3,0,0,0,4,0,2,0,0,2,0,0,4,3,0,4,0,0,4,1,0,3,0,2,0,8,0,0,0,0,66,0,2,0,6,0,0,4,6,0,0,1,0,0,2,1,0,0
2020-04-24,2,2,422,0,8,1,2,3,0,14,1,0,0,2,4,5,0,1,5,1,0,2,4,1,5,1,1,2,0,2,3,1,0,8,0,0,0,0,4,3,2,4,0,13,0,3,0,0,63,1,1,0,1,0,1,0,3,2,0,0,6,1,4,4,1,0
2020-04-25,2,0,316,0,0,3,1,5,2,5,0,1,3,2,1,1,0,0,1,0,0,0,3,0,0,0,0,4,0,1,0,3,0,6,0,0,1,1,0,2,0,3,0,4,1,0,0,0,51,0,0,1,5,0,0,2,3,1,0,0,0,0,1,2,1,0
2020-04-26,2,1,318,0,2,0,0,1,0,11,0,0,1,0,3,0,0,1,0,1,1,2,4,0,0,0,0,0,1,1,8,1,0,1,0,0,1,2,0,0,0,3,0,6,0,0,0,1,49,2,1,0,4,0,0,1,3,2,0,1,2,1,2,2,0,0
2020-04-27,3,0,332,2,0,0,0,0,0,7,0,0,4,0,0,0,0,0,2,0,1,0,0,4,0,1,3,0,0,0,1,1,2,4,0,0,0,0,1,1,0,2,2,5,0,0,0,0,59,0,0,0,2,3,0,3,0,0,0,1,0,0,0,1,0,2
2020-04-28,1,0,217,1,1,0,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,57,2,1,0,1,0,0,4,10,1,0,0,1,1,2,1,0,0
2020-04-29,6,0,253,1,0,1,1,0,0,7,0,0,2,0,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,2,1,0,3,0,7,1,0,0,0,59,0,0,1,1,0,0,2,4,1,0,1,1,3,2,0,0,0
2020-04-30,8,0,282,1,0,1,1,0,1,6,0,3,0,0,0,0,1,1,1,2,0,1,0,0,1,1,1,0,2,0,2,0,0,4,0,1,0,0,2,2,1,0,0,10,0,2,0,1,53,0,0,0,1,0,0,2,1,0,0,1,1,0,0,3,0,0
2020-05-01,0,1,275,0,0,0,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,5,1,0,0,5,1,0,1,0,0,2,0,0,0,3,0,0,0,0,39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2020-05-02,1,0,486,0,0,0,1,2,0,7,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,5,1,0,2,0,1,0,0,0,0,0,0,1,2,0,1,0,0,71,0,2,1,3,0,0,1,2,0,1,1,0,0,1,0,0,0
2020-05-03,1,0,322,0,0,2,0,2,0,4,1,0,0,1,1,0,0,0,3,1,2,0,0,0,0,3,0,2,0,2,0,0,0,3,0,0,2,0,0,1,0,1,2,3,0,0,0,0,56,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
2020-05-04,0,0,261,0,1,1,0,2,0,8,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,8,0,1,0,0,0,0,1,2,0,6,0,0,0,0,47,0,0,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0
2020-05-05,3,0,173,1,0,0,0,0,2,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,2,1,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,69,0,2,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0
2020-05-06,2,0,206,0,1,0,1,2,0,11,1,0,0,1,0,1,0,1,2,1,0,0,1,0,2,0,0,1,0,1,4,3,0,1,0,0,2,0,1,3,0,1,0,4,0,0,0,0,79,0,0,0,3,0,0,0,0,0,0,2,1,1,1,0,0,0
2020-05-07,4,0,216,0,1,1,0,0,0,5,1,1,2,0,2,0,0,0,0,2,2,1,0,0,0,2,0,5,0,0,2,3,0,10,0,1,0,0,1,0,0,0,0,6,0,0,0,0,57,0,0,1,0,0,0,3,1,0,0,0,0,0,1,2,0,0
2020-05-08,1,0,182,2,0,2,0,1,0,6,1,0,0,1,0,0,0,0,2,0,0,1,2,1,0,0,0,1,0,1,1,1,0,2,3,1,1,0,0,0,0,2,0,1,0,1,0,0,61,0,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0
2020-05-09,0,0,138,2,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,0,0,4,0,0,0,0,50,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0
2020-05-10,2,0,152,0,2,2,1,3,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,1,1,0,0,0,6,0,0,0,1,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,135,0,0,0,0,1,0,6,1,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,2,0,5,0,0,1,0,0,4,0,0,0,14,0,0,0,1,43,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,3,1,174,0,4,1,0,0,0,8,0,0,1,1,1,1,0,1,2,1,0,2,4,0,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,2,1,1,1,15,0,0,0,0,70,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0
2020-05-13,2,0,157,0,1,1,0,0,0,7,1,1,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,1,3,0,3,0,0,3,0,0,0,1,0,0,3,0,0,0,0,61,2,0,0,1,0,0,1,1,0,1,3,0,0,0,1,0,0
2020-05-14,2,0,175,0,0,2,1,0,0,7,0,1,1,0,1,1,0,0,1,0,0,1,3,0,1,1,0,2,0,0,0,1,0,4,1,0,1,0,0,0,0,1,0,4,0,0,0,0,58,0,0,2,0,0,0,2,1,0,0,1,1,0,1,0,0,0
2020-05-15,3,1,190,0,2,0,0,0,0,9,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,6,0,0,0,3,76,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2020-05-16,0,0,259,0,1,0,3,1,0,19,1,0,3,6,2,1,0,1,1,2,0,2,5,0,0,1,0,1,1,0,0,2,0,5,0,1,0,0,0,1,0,2,0,8,0,1,0,0,71,0,0,1,1,0,0,0,3,1,0,1,0,0,0,7,1,0
2020-05-17,1,0,205,0,2,1,0,0,0,18,1,0,1,0,0,0,0,1,0,0,0,3,1,1,0,0,0,1,0,1,1,0,0,4,0,0,1,0,0,0,0,1,0,2,0,1,0,1,63,1,0,1,2,0,0,2,0,0,0,0,1,0,3,1,0,0
2020-05-18,1,0,182,1,0,0,0,0,0,10,1,0,0,3,0,0,0,0,0,0,0,1,5,3,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,2,0,0,0,7,0,0,0,0,60,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-05-19,4,0,127,0,1,2,0,0,0,11,0,0,1,0,1,1,0,0,6,0,0,1,1,0,0,0,0,2,1,0,1,0,0,6,0,0,0,0,0,1,0,1,0,5,0,0,0,0,58,1,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0
2020-05-20,2,0,181,0,1,0,0,1,0,19,0,0,2,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,50,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0
2020-05-21,10,0,313,1,0,0,0,0,0,14,0,0,4,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,11,1,0,2,0,0,1,1,1,1,13,0,0,0,0,95,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0
2020-05-22,3,0,265,0,2,0,1,0,0,12,0,0,1,0,0,0,0,0,3,0,0,1,3,2,1,0,0,1,0,0,1,2,1,10,0,2,1,1,0,1,0,2,0,5,0,0,0,0,80,0,0,4,0,0,0,0,0,0,0,1,1,0,1,3,0,0
2020-05-23,2,1,285,1,1,1,0,0,0,12,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,1,0,4,0,3,1,0,0,5,0,1,1,0,0,2,0,3,0,7,1,0,0,2,112,0,0,1,0,3,0,0,2,0,0,0,0,0,0,4,0,0
2020-05-24,2,1,241,2,3,0,1,0,0,18,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,4,0,2,0,10,0,0,0,0,89,0,0,1,0,1,0,2,0,1,1,0,0,3,1,1,0,0
2020-05-25,1,0,262,0,0,0,0,0,1,14,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,1,0,2,1,2,0,0,1,0,0,2,0,2,0,3,0,0,0,1,56,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0
2020-05-26,6,0,329,0,1,0,0,2,0,6,0,0,4,0,2,0,0,0,0,0,0,1,4,0,0,2,0,1,0,0,4,1,0,5,0,0,1,0,1,1,0,1,0,6,0,0,0,0,97,3,0,2,2,0,0,1,1,3,0,1,1,0,0,6,0,0
2020-05-27,4,4,364,0,3,0,0,0,0,15,2,1,0,1,4,0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,1,0,5,0,0,2,0,0,1,0,0,0,8,0,0,0,0,78,0,1,0,0,0,0,1,1,0,0,1,0,0,1,6,0,0
2020-05-28,4,0,382,0,0,2,0,0,0,21,0,0,0,1,2,0,0,1,0,0,0,0,9,1,1,0,0,6,0,1,2,1,0,4,0,1,8,0,1,0,0,1,0,6,0,0,0,0,88,0,0,0,2,0,0,0,0,0,0,0,1,1,3,2,0,0
2020-05-29,4,0,393,0,1,1,1,0,0,16,1,0,5,2,1,1,0,0,1,0,1,3,4,0,0,0,1,3,0,1,1,1,0,3,0,0,0,2,0,1,0,0,0,7,0,0,0,1,105,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
2020-05-30,0,1,427,1,1,0,0,1,0,9,0,0,1,0,1,1,0,0,1,0,0,0,3,3,0,1,0,1,0,0,2,2,0,11,0,0,0,0,2,0,1,0,0,13,0,0,0,0,108,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2020-05-31,1,0,430,0,1,0,0,1,0,6,0,0,4,0,3,0,0,0,1,0,0,0,4,0,1,0,0,1,1,0,0,0,0,7,0,2,0,0,0,3,0,0,2,13,0,0,0,0,108,4,0,0,0,0,0,0,3,0,0,1,0,0,1,5,0,1
2020-06-01,6,0,370,1,1,1,1,1,0,6,1,0,3,4,0,0,0,1,2,0,0,0,6,2,0,0,0,0,1,1,5,2,0,3,0,0,2,0,2,6,3,1,0,13,0,0,0,1,110,1,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0
2020-06-02,6,0,400,0,0,1,0,1,1,17,3,0,2,1,3,0,1,1,0,0,0,1,6,1,1,0,0,0,1,0,1,2,0,6,0,0,1,0,0,1,0,0,0,12,0,0,0,1,75,2,0,1,3,1,0,0,3,1,0,0,0,0,1,3,1,0
2020-06-03,7,0,365,0,1,0,1,0,0,15,2,0,4,0,0,0,0,1,0,0,2,0,3,1,0,0,0,0,0,1,3,4,0,8,0,0,0,0,0,3,2,0,0,4,1,0,0,0,89,1,2,7,2,0,0,1,0,0,0,0,0,0,1,3,0,1
2020-06-04,20,2,697,0,2,0,1,2,0,51,3,2,6,2,8,1,0,2,8,2,3,7,11,1,2,2,2,9,2,3,10,10,1,11,0,6,10,1,4,8,3,5,0,18,0,0,0,2,171,6,5,5,1,3,0,11,3,0,1,5,1,0,10,2,1,1
2020-06-05,71,6,1910,2,12,9,3,11,1,172,6,1,8,14,25,3,0,16,13,5,1,21,32,15,7,5,4,20,4,6,22,16,1,25,2,6,37,5,9,28,3,5,1,57,3,7,0,2,455,11,2,12,4,3,1,10,12,11,7,13,4,7,7,17,4,2
2020-06-06,33,6,1431,5,4,7,2,11,5,100,7,3,6,6,23,1,0,5,10,4,6,18,19,8,4,4,4,8,5,3,18,16,1,29,0,12,18,0,2,16,4,12,3,51,1,2,0,6,307,6,2,2,2,2,3,9,27,3,1,10,5,5,5,24,0,0
2020-06-07,35,0,1466,3,7,7,0,8,2,69,2,2,13,12,27,0,2,3,8,2,3,10,19,8,2,2,3,19,3,5,13,18,1,24,3,7,28,3,3,13,9,3,2,51,1,1,0,1,335,9,4,9,2,1,6,8,15,4,0,13,1,5,8,12,5,4
2020-06-08,39,2,1097,8,10,5,4,2,2,62,4,3,20,11,16,1,1,3,14,1,1,29,18,6,4,2,3,4,1,5,13,10,4,23,0,13,16,3,0,19,5,4,1,33,1,4,0,0,218,7,3,10,8,5,0,4,20,3,3,19,4,2,2,10,2,0
2020-06-09,23,5,912,5,18,4,1,5,1,62,1,1,10,2,11,1,5,3,11,2,3,7,10,7,0,0,0,2,2,4,15,9,1,24,1,4,14,3,1,21,3,2,0,25,2,0,0,2,181,0,3,1,5,3,3,7,5,3,1,3,4,0,5,6,1,4
2020-06-10,14,2,712,1,8,3,4,6,2,58,0,2,5,5,7,5,1,8,6,2,0,14,5,5,0,0,0,4,5,2,12,9,2,13,0,5,8,3,2,10,3,2,0,14,1,0,0,2,137,1,1,4,2,3,0,5,3,3,0,5,0,7,4,7,1,1
2020-06-11,17,2,644,1,2,3,0,2,0,39,1,1,4,1,5,2,4,1,4,1,0,11,9,2,0,2,0,3,1,1,7,10,0,8,0,1,11,3,1,6,0,3,1,20,1,0,0,0,108,3,4,2,2,2,1,4,3,3,1,4,3,0,5,10,0,0
2020-06-12,13,0,591,0,5,4,0,1,4,39,2,0,4,5,3,0,0,4,4,1,0,2,7,5,0,0,0,5,4,1,5,4,3,8,1,1,8,1,1,3,3,5,0,14,0,0,0,1,101,4,1,0,4,4,0,2,3,1,3,2,3,4,5,6,0,1
2020-06-13,8,2,504,4,1,3,1,0,5,34,1,1,3,3,3,0,0,1,1,2,1,9,10,5,0,1,0,3,3,1,5,7,1,6,5,4,8,0,0,5,2,5,1,12,0,0,0,3,93,0,2,1,4,0,2,1,11,2,0,11,0,3,3,9,1,3
2020-06-14,25,1,511,3,3,0,2,1,2,22,0,0,3,3,11,1,3,1,2,2,0,5,11,2,1,1,0,2,0,3,6,10,0,4,1,1,4,1,0,6,0,0,0,18,0,3,0,1,96,2,0,3,2,0,0,3,2,5,0,5,3,0,6,8,1,0
2020-06-15,16,2,584,1,8,0,3,10,0,27,1,0,2,5,4,1,1,0,0,0,1,4,5,1,0,1,0,0,4,2,4,12,1,6,0,2,9,1,3,5,1,1,3,11,0,1,0,1,104,3,0,3,1,2,5,2,4,5,0,6,2,0,9,6,0,0
2020-06-16,8,0,493,2,3,0,1,3,3,17,4,0,4,4,5,0,3,2,2,0,0,6,10,12,1,0,0,3,1,2,6,8,0,7,0,4,7,0,2,12,8,1,0,14,0,0,0,3,91,1,1,2,3,1,0,6,9,3,1,4,0,1,5,5,1,0
2020-06-17,11,1,464,5,1,6,2,4,1,10,1,0,6,2,3,1,1,1,2,2,1,8,12,1,1,0,0,3,1,0,8,4,0,5,1,5,0,0,2,6,4,0,2,9,1,0,0,0,93,2,2,2,6,0,0,3,10,1,0,2,3,3,4,7,0,0
2020-06-18,18,6,1210,8,9,6,4,3,2,69,10,4,7,17,16,4,0,2,21,5,4,16,24,6,2,3,5,4,4,2,10,11,0,21,4,8,17,2,6,14,7,8,2,45,1,3,0,3,306,7,7,8,3,5,0,8,15,8,4,8,9,5,22,8,0,0
2020-06-19,14,0,785,2,3,3,2,5,2,32,0,0,6,6,3,0,2,2,6,0,2,10,10,1,0,1,0,2,0,1,8,11,1,6,3,4,8,2,2,3,3,0,0,15,1,0,0,0,173,4,2,3,5,2,2,4,11,5,1,1,0,2,9,6,4,1
2020-06-20,9,2,723,3,6,3,2,0,1,20,1,0,2,9,4,0,4,5,9,1,1,12,6,1,3,2,1,6,0,4,6,7,1,8,1,2,9,1,1,3,3,4,1,13,0,0,0,4,134,0,5,5,3,4,0,4,15,5,0,5,3,4,6,12,1,0
2020-06-21,6,2,469,1,2,0,0,1,0,11,1,1,7,6,2,0,2,2,4,0,0,5,6,3,0,2,1,0,2,2,9,7,2,2,3,0,4,2,3,1,4,1,1,15,1,0,0,0,74,0,2,2,2,0,1,4,8,0,2,0,2,1,6,1,0,0
2020-06-22,10,0,569,2,4,1,4,5,2,25,2,0,6,4,1,0,0,0,10,3,9,4,2,2,2,0,2,2,1,1,8,2,1,5,2,1,11,1,6,0,1,2,1,5,0,0,0,3,113,2,1,2,0,2,0,3,4,0,4,12,3,0,9,3,0,1
2020-06-23,14,1,481,1,6,3,0,2,1,16,1,0,1,1,0,0,0,5,4,2,0,3,8,1,1,1,2,2,0,1,3,5,1,8,0,2,4,1,1,5,2,3,2,12,0,1,0,2,78,1,0,4,0,2,2,1,3,0,2,5,3,0,9,5,6,2
2020-06-24,13,2,444,2,5,3,0,4,3,18,0,0,6,3,3,1,2,3,6,2,2,4,8,2,0,0,1,0,0,2,5,5,0,5,0,0,6,0,2,4,1,1,1,8,0,0,0,1,74,0,0,2,2,1,0,6,10,0,1,3,2,1,10,5,1,0
2020-06-25,11,2,414,0,2,4,1,0,1,16,0,1,8,4,2,1,1,1,0,1,0,5,3,0,0,4,0,2,0,1,7,4,2,4,0,0,2,1,0,6,1,1,0,8,1,0,0,6,79,3,0,0,0,0,0,1,4,1,0,2,2,1,4,2,0,0
